DLiP-ID,T007LN
DLiP-Mol-ID,25751
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C10H10N6O/c17-16-9-3-1-7(5-8(9)6-11-16)2-4-10-12-14-15-13-10/h1,3,5-6,17H,2,4H2,(H,12,13,14,15)"
Standard Inchi Key(RDKit),YGDLGRHJAGOPII-UHFFFAOYSA-N
Canonical SMILES(RDKit),On1ncc2cc(CCc3nn[nH]n3)ccc21
SMILES(SDF),
MW(SDF),
MW(RDKit),230.231
MW Monoisotopic(RDKit),230.09160894
MolLogP(RDKit),0.5719
XLogP(SDF),
XLogP(CDK),1.898
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),92.51
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),17
QED Weighted(RDKit),0.641595263987625
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,BetaCatenin/Tcf4 and Tcf3
Common Target Pref Name,Beta-catenin/TCF
RDKit Descriptors
Ipc,17482.863130994916
qed,0.6415952639876252
Chi0,11.664925939000156
Chi1,8.326499840494922
TPSA,92.51
Chi0n,8.906896212131349
Chi0v,8.906896212131349
Chi1n,5.210048665991002
Chi1v,5.210048665991002
Chi2n,3.755211452772051
Chi2v,3.755211452772051
Chi3n,2.640099553830651
Chi3v,2.640099553830651
Chi4n,1.7686752283309415
Chi4v,1.7686752283309415
MolMR,58.50320000000001
MolWt,230.23100000000002
fr_SH,0
Kappa1,9.762478470909471
Kappa2,3.8537931114000017
Kappa3,1.819287638489304
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,5
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,629.3395262819791
MolLogP,0.5718999999999996
NOCount,7
fr_Ar_N,6
fr_COO2,0
fr_urea,0
BalabanJ,1.8112085640740263
SMR_VSA1,5.20725302477729
SMR_VSA2,0.0
