DLiP-ID,T003YP
DLiP-Mol-ID,21025
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C26H30N4O3/c1-33-25(32)23(29-24(31)17-22-8-5-15-30(18-22)26(27)28)16-21-13-11-20(12-14-21)10-9-19-6-3-2-4-7-19/h2-4,6-7,11-14,22-23H,5,8,15-18H2,1H3,(H3,27,28)(H,29,31)/t22-,23+/m1/s1"
Standard Inchi Key(RDKit),MRNGXYMKYHNMLV-PKTZIBPZSA-N
Canonical SMILES(RDKit),COC(=O)[C@H](Cc1ccc(C#Cc2ccccc2)cc1)NC(=O)C[C@H]1CCCN(C(=N)N)C1
SMILES(SDF),
MW(SDF),
MW(RDKit),446.551
MW Monoisotopic(RDKit),446.23179082
MolLogP(RDKit),2.28227
XLogP(SDF),
XLogP(CDK),4.842
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),108.51
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),33
QED Weighted(RDKit),0.273061502204348
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,IL-2/IL-2Ra
Common Target Pref Name,IL2/IL2R
RDKit Descriptors
Ipc,23802767.321335234
qed,0.273061502204348
Chi0,23.631181265251033
Chi1,15.939892043425118
TPSA,108.51
Chi0n,18.842802384286344
Chi0v,18.842802384286344
Chi1n,11.064859210338627
Chi1v,11.064859210338627
Chi2n,8.203966505906795
Chi2v,8.203966505906795
Chi3n,5.673394773648005
Chi3v,5.673394773648005
Chi4n,3.927161915202049
Chi4v,3.927161915202049
MolMR,127.34280000000007
MolWt,446.5510000000003
fr_SH,0
Kappa1,23.864381985744064
Kappa2,11.722748977217677
Kappa3,7.389713079771045
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,2
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,1024.9976791915174
MolLogP,2.2822700000000005
NOCount,7
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.586954992166469
SMR_VSA1,14.325937321943691
SMR_VSA2,5.409283605791522
SMR_VSA3,10.216698334856808
SMR_VSA4,11.651573523323577
SMR_VSA5,31.725127320852
SMR_VSA6,20.199310353102685
SMR_VSA7,71.28765809124549
SMR_VSA8,0.0
SMR_VSA9,11.840868637711289
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,1
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,194.36260814512696
NHOHCount,4
PEOE_VSA1,20.687228765819043
PEOE_VSA2,10.203820789863343
PEOE_VSA3,4.794537184071822
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,42.172703980019335
PEOE_VSA7,48.58846905755685
PEOE_VSA8,37.05805904107116
PEOE_VSA9,7.109797541277533
RingCount,3
SMR_VSA10,17.836039586047193
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,446.23179082000007
NumHDonors,3
PEOE_VSA10,6.041840829147961
PEOE_VSA11,5.959554568743835
PEOE_VSA12,5.907179729351506
PEOE_VSA13,0.0
PEOE_VSA14,5.969305287951849
SlogP_VSA1,11.050456081168516
SlogP_VSA2,48.97710049914831
SlogP_VSA3,20.7467589448697
SlogP_VSA4,23.168058289664202
SlogP_VSA5,35.95281934386902
SlogP_VSA6,54.59730361615449
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,2
fr_epoxide,0
fr_guanido,1
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,1
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,12.011146117099809
EState_VSA2,24.205461967182742
EState_VSA3,12.965578028838586
EState_VSA4,36.07675412685558
EState_VSA5,7.109797541277533
EState_VSA6,4.899909730850478
EState_VSA7,54.59730361615449
EState_VSA8,17.15765724171762
EState_VSA9,15.879814036753757
SlogP_VSA10,0.0
SlogP_VSA11,0.0
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
VSA_EState7,0.0
