DLiP-ID,C100GZ
DLiP-Mol-ID,29298
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C24H31N3O2S/c25-18-19-6-8-22(9-7-19)29-16-3-13-27-14-10-21(11-15-27)24(28,20-4-1-2-5-20)23-26-12-17-30-23/h6-9,12,17,20-21,28H,1-5,10-11,13-16H2"
Standard Inchi Key(RDKit),INLKZOGWBUSMOY-UHFFFAOYSA-N
Canonical SMILES(RDKit),N#Cc1ccc(OCCCN2CCC(C(O)(c3nccs3)C3CCCC3)CC2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),425.598
MW Monoisotopic(RDKit),425.213698232
MolLogP(RDKit),4.57368
XLogP(SDF),
XLogP(CDK),3.481
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),69.38
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.627385991319004
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,13668290.341568125
qed,0.6273859913190039
Chi0,20.81334402005525
Chi1,14.696856541928934
TPSA,69.38
Chi0n,17.502327709496594
Chi0v,18.318824290424317
Chi1n,11.175372235926133
Chi1v,12.05502504718103
Chi2n,8.598092044522346
Chi2v,9.492658162960756
Chi3n,6.833288129390677
Chi3v,7.746746010957361
Chi4n,5.170266739244624
Chi4v,6.064719155204453
MolMR,118.40180000000005
MolWt,425.59800000000024
fr_SH,0
Kappa1,21.298074822674597
Kappa2,9.911253039375811
Kappa3,4.691909854454175
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,3
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,819.1359768473559
MolLogP,4.573680000000005
NOCount,5
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.2488672563618868
SMR_VSA1,9.843390348640755
SMR_VSA2,5.261891554738487
SMR_VSA3,9.883888251797686
SMR_VSA4,11.835812092322787
SMR_VSA5,50.54680217146576
SMR_VSA6,26.241151182250643
SMR_VSA7,46.41344980447519
SMR_VSA8,0.0
SMR_VSA9,11.818733146076179
fr_Al_OH,1
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,182.8711703191846
NHOHCount,1
PEOE_VSA1,14.743300079491233
PEOE_VSA2,0.0
PEOE_VSA3,4.9839785209472085
PEOE_VSA4,5.261891554738487
PEOE_VSA5,11.336785877934737
PEOE_VSA6,12.841643245852019
PEOE_VSA7,81.29490129262444
PEOE_VSA8,18.121662747991568
PEOE_VSA9,18.239554769002186
RingCount,4
SMR_VSA10,11.336785877934737
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,425.213698232
NumHDonors,1
PEOE_VSA10,16.35818634112036
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,4.736862953800049
SlogP_VSA2,41.23156682888904
SlogP_VSA3,5.601050810983688
SlogP_VSA4,23.166924959853546
SlogP_VSA5,55.51682654903183
SlogP_VSA6,35.842374615925436
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,1
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,5.601050810983688
EState_VSA2,0.0
EState_VSA3,24.0061455485327
EState_VSA4,62.49551286250445
