DLiP-ID,T002CE
DLiP-Mol-ID,18527
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H15NO7S/c1-10-2-5-12(6-3-10)25(22,23)24-9-15(19)17-11-4-7-13(16(20)21)14(18)8-11/h2-8,18H,9H2,1H3,(H,17,19)(H,20,21)"
Standard Inchi Key(RDKit),HWNUSGNZBAISFM-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1ccc(S(=O)(=O)OCC(=O)Nc2ccc(C(=O)O)c(O)c2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),365.363
MW Monoisotopic(RDKit),365.05692282
MolLogP(RDKit),1.74282
XLogP(SDF),
XLogP(CDK),1.397
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),130.0
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),25
QED Weighted(RDKit),0.6647586677422
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,STAT3 dimer
Common Target Pref Name,STAT3 dimer
RDKit Descriptors
Ipc,248096.36505466604
qed,0.6647586677422
Chi0,18.612519696192855
Chi1,11.686377732905378
TPSA,130.0
Chi0n,13.092475599297025
Chi0v,13.908972180224751
Chi1n,7.011215633142344
Chi1v,8.419463923606207
Chi2n,5.1146225194637385
Chi2v,6.7299775911141495
Chi3n,3.166726116009774
Chi3v,4.444394262300699
Chi4n,1.8913927866821048
Chi4v,2.759080344486509
MolMR,88.0126
MolWt,365.36300000000006
fr_SH,0
Kappa1,18.42896772772894
Kappa2,7.324575345007146
Kappa3,4.782074349301748
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,0
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,904.5805164189358
MolLogP,1.74282
NOCount,8
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,1.9953373605235638
SMR_VSA1,32.4030115748037
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,11.819220675208399
SMR_VSA6,11.923670568519249
SMR_VSA7,53.59147246262526
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,1
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,143.3575871585865
NHOHCount,3
PEOE_VSA1,15.529843393687743
PEOE_VSA2,8.97762261672153
PEOE_VSA3,4.794537184071822
PEOE_VSA4,8.417796984328938
PEOE_VSA5,0.0
PEOE_VSA6,17.696185628620217
