DLiP-ID,C000F1
DLiP-Mol-ID,30728
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C8H13NO2/c1-9-5-2-6(10)4-7(9)8(11)3-5/h5,7-8,11H,2-4H2,1H3"
Standard Inchi Key(RDKit),UOHSTKWPZWFYTF-UHFFFAOYSA-N
Canonical SMILES(RDKit),CN1C2CC(=O)CC1C(O)C2
SMILES(SDF),
MW(SDF),
MW(RDKit),155.197
MW Monoisotopic(RDKit),155.094628656
MolLogP(RDKit),-0.2171
XLogP(SDF),
XLogP(CDK),-0.962
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),40.54
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),0
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),0
nAtoms(SDF),
Heavy Atoms(RDKit),11
QED Weighted(RDKit),0.525627508596962
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,412.6726923285568
qed,0.5256275085969623
Chi0,8.008071689507773
Chi1,5.1815405503520555
TPSA,40.540000000000006
Chi0n,6.6560466325923
Chi0v,6.6560466325923
Chi1n,4.099367686348706
Chi1v,4.099367686348706
Chi2n,3.636613459174539
Chi2v,3.636613459174539
Chi3n,2.956912288039815
Chi3v,2.956912288039815
Chi4n,2.231077512967296
Chi4v,2.231077512967296
MolMR,40.20380000000001
MolWt,155.19699999999997
fr_SH,0
Kappa1,7.250472380685797
Kappa2,2.287037343236974
Kappa3,0.9927645874188504
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,192.5310795617182
MolLogP,-0.21710000000000024
NOCount,3
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.1970881284024117
SMR_VSA1,9.901064578912528
SMR_VSA2,0.0
SMR_VSA3,4.899909730850478
SMR_VSA4,0.0
SMR_VSA5,37.450112914822256
SMR_VSA6,7.04767198267719
SMR_VSA7,0.0
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,1
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,65.99777304399048
NHOHCount,1
PEOE_VSA1,5.106527394840706
PEOE_VSA2,9.694446914922299
PEOE_VSA3,0.0
PEOE_VSA4,0.0
