DLiP-ID,I000VE
DLiP-Mol-ID,29014
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C26H26N4O2/c31-24-8-6-20-22(9-11-27-26(20)24)29-18-5-7-23-25(15-18)32-14-13-30(23)12-10-17-16-28-21-4-2-1-3-19(17)21/h1-5,7,9,11,15-16,24,28,31H,6,8,10,12-14H2,(H,27,29)/t24-/m0/s1"
Standard Inchi Key(RDKit),OICNNGQJJXUBER-DEOSSOPVSA-N
Canonical SMILES(RDKit),O[C@H]1CCc2c(Nc3ccc4c(c3)OCCN4CCc3c[nH]c4ccccc34)ccnc21
SMILES(SDF),
MW(SDF),
MW(RDKit),426.52
MW Monoisotopic(RDKit),426.205576072
MolLogP(RDKit),4.7276
XLogP(SDF),
XLogP(CDK),3.577
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),73.41
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),6
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),32
QED Weighted(RDKit),0.430373578547916
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,MDM2-Like_P53
Common Target Pref Name,P53/HDM2
RDKit Descriptors
Ipc,55912407.2738268
qed,0.4303735785479159
Chi0,21.492988584816832
Chi1,15.759152830872498
TPSA,73.41
Chi0n,17.843382725168908
Chi0v,17.843382725168908
Chi1n,11.257639271119908
Chi1v,11.257639271119908
Chi2n,8.529290236058612
Chi2v,8.529290236058612
Chi3n,6.596790620693865
Chi3v,6.596790620693865
Chi4n,4.929977873365854
Chi4v,4.929977873365854
MolMR,126.95320000000002
MolWt,426.5200000000001
fr_SH,0
Kappa1,19.1960394527328
Kappa2,7.875964479640198
Kappa3,3.367681685567451
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,2
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1282.0584323392943
MolLogP,4.727600000000003
NOCount,6
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.2051310526914514
SMR_VSA1,9.843390348640755
SMR_VSA2,0.0
SMR_VSA3,9.967957041894417
SMR_VSA4,0.0
SMR_VSA5,25.36643125652633
SMR_VSA6,29.91309311119488
SMR_VSA7,77.74545466916149
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,1
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,186.4164717945531
NHOHCount,3
PEOE_VSA1,25.044067204444772
PEOE_VSA2,4.9839785209472085
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,18.19910120538483
PEOE_VSA7,54.65483612601845
PEOE_VSA8,47.28250809904853
PEOE_VSA9,24.030037063192903
RingCount,6
SMR_VSA10,27.965083756131747
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,426.20557607200004
NumHDonors,3
PEOE_VSA10,12.356393797796823
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,14.953561288656857
SlogP_VSA2,34.770879213073194
SlogP_VSA3,12.841643245852019
SlogP_VSA4,0.0
SlogP_VSA5,29.345618988916765
SlogP_VSA6,60.924623690919034
SlogP_VSA7,0.0
