DLiP-ID,C001CD
DLiP-Mol-ID,32156
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H24N4O/c1-13(2)12-22-17-16(21-10-8-20(3)9-11-21)18-14-6-4-5-7-15(14)19-17/h4-7,13H,8-12H2,1-3H3"
Standard Inchi Key(RDKit),ZKLSPOIPILSNQK-UHFFFAOYSA-N
Canonical SMILES(RDKit),CC(C)COc1nc2ccccc2nc1N1CCN(C)CC1
SMILES(SDF),
MW(SDF),
MW(RDKit),300.406
MW Monoisotopic(RDKit),300.195011388
MolLogP(RDKit),2.4164
XLogP(SDF),
XLogP(CDK),3.383
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),41.49
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),22
QED Weighted(RDKit),0.867164450601714
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,123273.30061827746
qed,0.8671644506017142
Chi0,15.526733258565956
Chi1,10.631030293135236
TPSA,41.49000000000001
Chi0n,13.619387924344565
Chi0v,13.619387924344565
Chi1n,7.9632570261766915
Chi1v,7.9632570261766915
Chi2n,6.336255663425292
Chi2v,6.336255663425292
Chi3n,3.877565063495906
Chi3v,3.877565063495906
Chi4n,2.541212918374619
Chi4v,2.541212918374619
MolMR,89.58100000000005
MolWt,300.40600000000006
fr_SH,0
Kappa1,15.032579420487952
Kappa2,6.482239874174768
Kappa3,3.2994675793158916
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,4
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,635.5915843787664
MolLogP,2.4164000000000003
NOCount,5
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.9498380876348884
