DLiP-ID,P0009N
DLiP-Mol-ID,24409
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H16N2O3/c1-20-17(21)12-16(22-2)18(19-20)14-10-6-7-11-15(14)23-13-8-4-3-5-9-13/h3-12H,1-2H3"
Standard Inchi Key(RDKit),MDTCYTNEBYQKFC-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1cc(=O)n(C)nc1-c1ccccc1Oc1ccccc1
SMILES(SDF),
MW(SDF),
MW(RDKit),308.337
MW Monoisotopic(RDKit),308.116092372
MolLogP(RDKit),3.2482
XLogP(SDF),
XLogP(CDK),4.113
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),53.35
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),23
QED Weighted(RDKit),0.742200582073934
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,BRD4-2/H4
Common Target Pref Name,Bromodomain/Histone
RDKit Descriptors
Ipc,220945.8793196818
qed,0.7422005820739338
Chi0,16.233840039752504
Chi1,11.185871848001627
TPSA,53.35000000000001
Chi0n,12.892674754287766
Chi0v,12.892674754287766
Chi1n,7.134556203293716
Chi1v,7.134556203293716
Chi2n,4.934437765829427
Chi2v,4.934437765829427
Chi3n,3.3900167249770714
Chi3v,3.3900167249770714
Chi4n,2.2314579338203715
Chi4v,2.2314579338203715
MolMR,87.98200000000003
MolWt,308.33700000000005
fr_SH,0
Kappa1,14.84056715861261
Kappa2,6.355038299396349
Kappa3,3.082331194277723
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,872.9352174445106
MolLogP,3.2482000000000015
NOCount,5
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,2.109570707241648
SMR_VSA1,9.473725907600098
SMR_VSA2,0.0
SMR_VSA3,9.780484743446223
SMR_VSA4,7.04767198267719
SMR_VSA5,0.0
SMR_VSA6,7.109797541277533
SMR_VSA7,71.01747476373994
SMR_VSA8,0.0
SMR_VSA9,28.50591498639717
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,2
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,133.28180933636887
NHOHCount,0
PEOE_VSA1,9.473725907600098
PEOE_VSA2,4.794537184071822
PEOE_VSA3,4.681802935145185
PEOE_VSA4,5.098681808301038
PEOE_VSA5,0.0
PEOE_VSA6,30.33183534230805
PEOE_VSA7,24.26546827384644
PEOE_VSA8,18.677490542835795
PEOE_VSA9,7.109797541277533
RingCount,3
SMR_VSA10,0.0
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,308.116092372
NumHDonors,0
PEOE_VSA10,17.19295166141627
PEOE_VSA11,5.749511833283905
PEOE_VSA12,0.0
PEOE_VSA13,5.559266895052007
PEOE_VSA14,0.0
SlogP_VSA1,15.032992802652105
SlogP_VSA2,16.890282284723757
