DLiP-ID,C100OI
DLiP-Mol-ID,35925
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H13N5O2/c17-15(22)11-4-1-3-10(7-11)14-9-21(20-19-14)13-6-2-5-12(8-13)16(18)23/h1-9H,(H2,17,22)(H2,18,23)"
Standard Inchi Key(RDKit),FMHQXHWZSQJKAP-UHFFFAOYSA-N
Canonical SMILES(RDKit),NC(=O)c1cccc(-c2cn(-c3cccc(C(N)=O)c3)nn2)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),307.313
MW Monoisotopic(RDKit),307.106924656
MolLogP(RDKit),1.1321
XLogP(SDF),
XLogP(CDK),1.253
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),116.89
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),23
QED Weighted(RDKit),0.750929242781126
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Keap1/Nrf2
Common Target Pref Name,KEAP1/NRF2
RDKit Descriptors
Ipc,243703.62718309296
qed,0.7509292427811264
Chi0,16.396976746569035
Chi1,11.041713895658193
TPSA,116.89000000000001
Chi0n,12.008990328513487
Chi0v,12.008990328513487
Chi1n,6.772420589587259
Chi1v,6.772420589587259
Chi2n,4.907986554872814
Chi2v,4.907986554872814
Chi3n,3.3314553451726288
Chi3v,3.3314553451726288
Chi4n,2.155745835560291
Chi4v,2.155745835560291
MolMR,83.83080000000001
MolWt,307.313
fr_SH,0
Kappa1,14.456968809165158
Kappa2,5.721853951403024
Kappa3,2.9318812671470624
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,3
fr_NH1,0
fr_NH2,2
fr_N_O,0
fr_azo,0
BertzCT,828.7460701034001
MolLogP,1.1321
NOCount,7
fr_Ar_N,3
fr_COO2,0
fr_urea,0
BalabanJ,1.9748225263112207
SMR_VSA1,9.589074368143644
SMR_VSA2,0.0
SMR_VSA3,14.993869839101091
SMR_VSA4,11.46733495432437
SMR_VSA5,0.0
SMR_VSA6,0.0
SMR_VSA7,65.85468310269995
SMR_VSA8,0.0
SMR_VSA9,16.944765761229018
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,131.0736363608433
NHOHCount,4
PEOE_VSA1,11.46733495432437
PEOE_VSA2,9.589074368143644
PEOE_VSA3,4.681802935145185
PEOE_VSA4,0.0
PEOE_VSA5,5.098681808301038
PEOE_VSA6,23.4124863010397
PEOE_VSA7,30.33183534230805
PEOE_VSA8,16.690354475090988
PEOE_VSA9,11.884229846296638
RingCount,3
SMR_VSA10,11.814359458703011
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
