DLiP-ID,P0001Y
DLiP-Mol-ID,22623
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C9H7NO3/c11-9(12)5-7-6-3-1-2-4-8(6)13-10-7/h1-4H,5H2,(H,11,12)"
Standard Inchi Key(RDKit),BVSIAYQIMUUCRW-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(O)Cc1noc2ccccc12
SMILES(SDF),
MW(SDF),
MW(RDKit),177.159
MW Monoisotopic(RDKit),177.042593084
MolLogP(RDKit),1.4549
XLogP(SDF),
XLogP(CDK),1.482
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),63.33
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),13
QED Weighted(RDKit),0.753625239667821
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,INTEGRASE/LEDGF
Common Target Pref Name,INTEGRASE/LEDGF
RDKit Descriptors
Ipc,1441.2552593255232
qed,0.7536252396678211
Chi0,9.259148545064338
Chi1,6.270856947829096
TPSA,63.33
Chi0n,6.727431629872694
Chi0v,6.727431629872694
Chi1n,3.82249312217505
Chi1v,3.82249312217505
Chi2n,2.6959428190341184
Chi2v,2.6959428190341184
Chi3n,1.7708191469004269
Chi3v,1.7708191469004269
Chi4n,1.2088412789993745
Chi4v,1.2088412789993745
MolMR,45.34880000000002
MolWt,177.15900000000002
fr_SH,0
Kappa1,7.790843144044321
Kappa2,2.895010133611532
Kappa3,1.37763609586988
fr_ArN,0
fr_COO,1
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,446.8114695530149
MolLogP,1.4548999999999999
NOCount,4
fr_Ar_N,1
fr_COO2,1
fr_urea,0
BalabanJ,2.5139618271787234
SMR_VSA1,14.424159515885876
SMR_VSA2,0.0
SMR_VSA3,5.156663257125445
SMR_VSA4,0.0
SMR_VSA5,6.4208216229260096
SMR_VSA6,0.0
SMR_VSA7,29.9593962686949
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,73.76404128305784
NHOHCount,1
PEOE_VSA1,9.629622331814055
