DLiP-ID,T005WZ
DLiP-Mol-ID,23137
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H30N4O4/c1-2-24-20(23)16-6-8-17(9-7-16)26-15-12-22(21(26)30)10-13-25(14-11-22)18(27)4-3-5-19(28)29/h6-9H,2-5,10-15H2,1H3,(H2,23,24)(H,28,29)"
Standard Inchi Key(RDKit),SLEGEICAQQRORE-UHFFFAOYSA-N
Canonical SMILES(RDKit),CC/N=C(\N)c1ccc(N2CCC3(CCN(C(=O)CCCC(=O)O)CC3)C2=O)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),414.506
MW Monoisotopic(RDKit),414.22670544
MolLogP(RDKit),2.0122
XLogP(SDF),
XLogP(CDK),0.755
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),116.3
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.522919115899248
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,5407795.395017048
qed,0.5229191158992483
Chi0,21.72540387131522
Chi1,14.359009671481276
TPSA,116.30000000000001
Chi0n,17.47141841120503
Chi0v,17.47141841120503
Chi1n,10.58023356230669
Chi1v,10.58023356230669
Chi2n,8.02165533366016
Chi2v,8.02165533366016
Chi3n,6.17053376238843
Chi3v,6.17053376238843
Chi4n,4.337680002008414
Chi4v,4.337680002008414
MolMR,114.41120000000006
MolWt,414.50600000000026
fr_SH,0
Kappa1,21.8003932405144
Kappa2,9.277346099378814
Kappa3,4.632144343720311
fr_ArN,0
fr_COO,1
fr_C_O,3
fr_C_S,0
fr_NH0,3
fr_NH1,0
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,826.044217107986
MolLogP,2.0122
NOCount,8
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,1.5840736011953116
SMR_VSA1,19.49013894705617
SMR_VSA2,0.0
SMR_VSA3,4.899909730850478
SMR_VSA4,16.141062679194633
SMR_VSA5,45.448666937246685
SMR_VSA6,31.078935354500782
SMR_VSA7,29.828919765543436
