DLiP-ID,P000LO
DLiP-Mol-ID,26671
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H21FN4O3S/c1-22-17(14-4-2-5-15(14)21-22)20-18(24)16-6-3-11-23(16)27(25,26)13-9-7-12(19)8-10-13/h7-10,16H,2-6,11H2,1H3,(H,20,24)/t16-/m0/s1"
Standard Inchi Key(RDKit),ZYGWHQCDHVLXGI-INIZCTEOSA-N
Canonical SMILES(RDKit),Cn1nc2c(c1NC(=O)[C@@H]1CCCN1S(=O)(=O)c1ccc(F)cc1)CCC2
SMILES(SDF),
MW(SDF),
MW(RDKit),392.456
MW Monoisotopic(RDKit),392.131839752
MolLogP(RDKit),1.8397
XLogP(SDF),
XLogP(CDK),1.855
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),84.3
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),27
QED Weighted(RDKit),0.860553917861868
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,BAZ2B/H4
Common Target Pref Name,BAZ2B/H4
RDKit Descriptors
Ipc,1927860.3347669935
qed,0.8605539178618679
Chi0,19.1814337969452
Chi1,12.87504722899153
TPSA,84.30000000000001
Chi0n,14.98199045443197
Chi0v,15.798487035359697
Chi1n,9.007389304191923
Chi1v,10.447452632992562
Chi2n,6.967967599363564
Chi2v,8.858522200235962
Chi3n,5.237034875260237
Chi3v,7.159433536102967
Chi4n,3.9077737296506263
Chi4v,5.564209576623455
MolMR,97.17650000000003
MolWt,392.45600000000013
fr_SH,0
Kappa1,18.119583515484447
Kappa2,6.720360951035623
Kappa3,3.143904588671208
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,3
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,984.7808285634238
MolLogP,1.8397000000000001
NOCount,7
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.5784676399729083
SMR_VSA1,17.60274921607558
SMR_VSA2,0.0
