DLiP-ID,P000AA
DLiP-Mol-ID,24566
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H17N3O4/c1-3-21-15-14(16(22)20-18(21)24)12(10-6-4-9(2)5-7-10)13-11(19-15)8-25-17(13)23/h4-7,12,19H,3,8H2,1-2H3,(H,20,22,24)/t12-/m1/s1"
Standard Inchi Key(RDKit),MUOCQMZJLRQTRD-GFCCVEGCSA-N
Canonical SMILES(RDKit),CCn1c2c(c(=O)[nH]c1=O)[C@H](c1ccc(C)cc1)C1=C(COC1=O)N2
SMILES(SDF),
MW(SDF),
MW(RDKit),339.351
MW Monoisotopic(RDKit),339.121906024
MolLogP(RDKit),1.23322
XLogP(SDF),
XLogP(CDK),3.27
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),93.19
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),25
QED Weighted(RDKit),0.803015968168537
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,BRD4-1/H4
Common Target Pref Name,Bromodomain/Histone
RDKit Descriptors
Ipc,676090.8760777276
qed,0.8030159681685373
Chi0,17.714813991764814
Chi1,12.007239053047545
TPSA,93.19
Chi0n,13.881171665676638
Chi0v,13.881171665676638
Chi1n,8.116665857649515
Chi1v,8.116665857649515
Chi2n,6.202875015657215
Chi2v,6.202875015657215
Chi3n,4.7014633455883175
Chi3v,4.7014633455883175
Chi4n,3.48217947805531
Chi4v,3.48217947805531
MolMR,91.62640000000002
MolWt,339.3510000000001
fr_SH,0
Kappa1,15.43842485053781
Kappa2,5.474873528398276
Kappa3,2.2296154269239383
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1027.767198136273
MolLogP,1.2332199999999995
NOCount,7
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,2.0447812251613953
SMR_VSA1,9.53140013787187
SMR_VSA2,0.0
SMR_VSA3,9.551078168738563
SMR_VSA4,0.0
SMR_VSA5,26.310136851455216
SMR_VSA6,11.923670568519249
SMR_VSA7,73.06405125346166
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,1
fr_ether,1
