DLiP-ID,C0011R
DLiP-Mol-ID,31699
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C13H12N2O2/c1-17-12-6-2-4-10(13(12)16)8-15-11-5-3-7-14-9-11/h2-9,16H,1H3/b15-8-"
Standard Inchi Key(RDKit),XIUUAXYKHVDPKF-NVNXTCNLSA-N
Canonical SMILES(RDKit),COc1cccc(/C=N\c2cccnc2)c1O
SMILES(SDF),
MW(SDF),
MW(RDKit),228.251
MW Monoisotopic(RDKit),228.089877624
MolLogP(RDKit),2.5464
XLogP(SDF),
XLogP(CDK),1.365
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),54.71
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),17
QED Weighted(RDKit),0.821176564440321
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,10043.881240614077
qed,0.8211765644403208
Chi0,12.08757566981053
Chi1,8.30886175028988
TPSA,54.71000000000001
Chi0n,9.368691230480746
Chi0v,9.368691230480746
Chi1n,5.110891706744635
Chi1v,5.110891706744635
Chi2n,3.367529981848813
Chi2v,3.367529981848813
Chi3n,2.248757237029559
Chi3v,2.248757237029559
Chi4n,1.3823859229769777
Chi4v,1.3823859229769777
MolMR,66.14980000000003
MolWt,228.251
fr_SH,0
Kappa1,11.135156363446079
Kappa2,5.115512288924944
Kappa3,2.60406541676812
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,524.1976010524614
MolLogP,2.5464000000000007
NOCount,4
fr_Ar_N,1
fr_COO2,0
fr_urea,0
