DLiP-ID,T002AM
DLiP-Mol-ID,18435
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C11H12BrNO4/c1-6(14)9(11(16)17)13-10(15)7-4-2-3-5-8(7)12/h2-6,9,14H,1H3,(H,13,15)(H,16,17)/t6-,9+/m1/s1"
Standard Inchi Key(RDKit),HTBUUCSOVXPFHN-MUWHJKNJSA-N
Canonical SMILES(RDKit),C[C@@H](O)[C@H](NC(=O)c1ccccc1Br)C(=O)O
SMILES(SDF),
MW(SDF),
MW(RDKit),302.124
MW Monoisotopic(RDKit),300.994969964
MolLogP(RDKit),1.0129
XLogP(SDF),
XLogP(CDK),1.461
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),86.63
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),1
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),17
QED Weighted(RDKit),0.774592286722549
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,4667.562469288589
qed,0.7745922867225491
Chi0,12.999635521070495
Chi1,7.930428110326539
TPSA,86.63000000000001
Chi0n,9.052989860074625
Chi0v,10.63898639918933
Chi1n,4.894420355367829
Chi1v,5.687418624925181
Chi2n,3.509819980785032
Chi2v,4.364156879959553
Chi3n,2.153536079491188
Chi3v,2.8450372855975665
Chi4n,1.2530160203804495
Chi4v,1.7178548174385226
MolMR,64.71280000000003
MolWt,302.124
fr_SH,0
Kappa1,13.664102564102564
Kappa2,5.78792866941015
Kappa3,3.5368286132812488
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,0
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,433.23453691565754
MolLogP,1.0129
NOCount,5
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,2.8520599864130536
SMR_VSA1,19.802129157825057
SMR_VSA2,0.0
SMR_VSA3,5.316788604006331
SMR_VSA4,0.0
SMR_VSA5,19.069544416586886
SMR_VSA6,0.0
SMR_VSA7,34.30163928137585
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,1
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,106.58503518520895
NHOHCount,3
PEOE_VSA1,15.529843393687743
PEOE_VSA2,4.794537184071822
