DLiP-ID,C000NG
DLiP-Mol-ID,31088
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H23N5O3/c1-10-11(5-6-13-16(10)18(20)24-19(21)23-13)9-22-12-7-14(25-2)17(27-4)15(8-12)26-3/h5-8,22H,9H2,1-4H3,(H4,20,21,23,24)"
Standard Inchi Key(RDKit),NOYPYLRCIDNJJB-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC
SMILES(SDF),
MW(SDF),
MW(RDKit),369.425
MW Monoisotopic(RDKit),369.180089596
MolLogP(RDKit),2.74052
XLogP(SDF),
XLogP(CDK),2.176
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),8
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),5
PSA(SDF),
PSA(RDKit),117.54
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),27
QED Weighted(RDKit),0.606983102844392
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,1140338.6982280267
qed,0.6069831028443925
Chi0,19.551677284948283
Chi1,12.977095508086471
TPSA,117.54
Chi0n,15.79038045871581
Chi0v,15.79038045871581
Chi1n,8.331385689365685
Chi1v,8.331385689365685
Chi2n,5.978426698347954
Chi2v,5.978426698347954
Chi3n,4.429032843213373
Chi3v,4.429032843213373
Chi4n,3.056680634106944
Chi4v,3.056680634106944
MolMR,106.52450000000002
MolWt,369.4250000000001
fr_SH,0
Kappa1,18.373445084210505
Kappa2,7.44583257827686
Kappa3,3.459182816352874
fr_ArN,2
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,2
fr_N_O,0
fr_azo,0
BertzCT,965.7264453700436
MolLogP,2.740520000000001
NOCount,8
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.9203540423868497
SMR_VSA1,14.210588861400147
SMR_VSA2,0.0
SMR_VSA3,9.967957041894417
SMR_VSA4,0.0
SMR_VSA5,13.4684936056032
SMR_VSA6,38.1135161821633
SMR_VSA7,35.392371257240434
SMR_VSA8,0.0
SMR_VSA9,17.248535499851716
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,3
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,157.00444765732638
NHOHCount,5
PEOE_VSA1,30.99471241973085
PEOE_VSA2,0.0
PEOE_VSA3,4.9839785209472085
PEOE_VSA4,4.9839785209472085
PEOE_VSA5,0.0
PEOE_VSA6,6.06636706846161
PEOE_VSA7,24.117007251546227
PEOE_VSA8,29.751101031984152
PEOE_VSA9,26.84609334144886
RingCount,3
SMR_VSA10,28.356513265586145
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,369.18008959599996
NumHDonors,3
PEOE_VSA10,5.817862777835028
PEOE_VSA11,11.49902366656781
PEOE_VSA12,11.6978511142704
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,30.99471241973085
SlogP_VSA2,31.297349665727015
SlogP_VSA3,6.544756405912575
SlogP_VSA4,6.923737199690624
SlogP_VSA5,11.126902983393991
SlogP_VSA6,24.26546827384644
SlogP_VSA7,0.0
SlogP_VSA8,10.902924932081056
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,3
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,3
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,0.0
