DLiP-ID,C001T2
DLiP-Mol-ID,32871
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H16O4/c1-12-8-18(19)22-17-10-15(6-7-16(12)17)21-11-13-4-3-5-14(9-13)20-2/h3-10H,11H2,1-2H3"
Standard Inchi Key(RDKit),DHHZLWYEZDBACT-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1cccc(COc2ccc3c(C)cc(=O)oc3c2)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),296.322
MW Monoisotopic(RDKit),296.104858992
MolLogP(RDKit),3.68902
XLogP(SDF),
XLogP(CDK),4.627
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),48.67
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),22
QED Weighted(RDKit),0.688930305350591
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,122846.5461959353
qed,0.6889303053505906
Chi0,15.526733258565956
Chi1,10.652198343190413
TPSA,48.67
Chi0n,12.458902096559008
Chi0v,12.458902096559008
Chi1n,6.957848887759738
Chi1v,6.957848887759738
Chi2n,5.0466178223133795
Chi2v,5.0466178223133795
Chi3n,3.4624757639338766
Chi3v,3.4624757639338766
Chi4n,2.3239407616658316
Chi4v,2.3239407616658316
MolMR,84.54700000000001
MolWt,296.322
fr_SH,0
Kappa1,14.198373702422145
Kappa2,5.934584386312411
Kappa3,2.956762951843888
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,864.3353092779768
MolLogP,3.689020000000003
NOCount,4
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.8304002340621286
SMR_VSA1,13.890876844653445
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,13.530619164203543
SMR_VSA6,7.109797541277533
SMR_VSA7,70.07796303423669
SMR_VSA8,0.0
SMR_VSA9,11.49902366656781
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,2
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,127.45841758355259
NHOHCount,0
PEOE_VSA1,13.890876844653445
PEOE_VSA2,0.0
PEOE_VSA3,4.794537184071822
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,12.13273413692322
PEOE_VSA7,42.316108456931055
PEOE_VSA8,17.518958351388015
PEOE_VSA9,7.109797541277533
RingCount,3
SMR_VSA10,10.969244356107037
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,296.104858992
NumHDonors,0
PEOE_VSA10,23.688925772722968
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,5.625586319077987
SlogP_VSA1,15.099312226678085
SlogP_VSA2,7.109797541277533
SlogP_VSA3,6.606881964512918
SlogP_VSA4,6.923737199690624
SlogP_VSA5,11.126902983393991
SlogP_VSA6,57.74262466881805
SlogP_VSA7,0.0
SlogP_VSA8,10.969244356107037
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,1
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,0.0
EState_VSA2,5.625586319077987
EState_VSA3,17.939413939439063
EState_VSA4,22.26263903114269
EState_VSA5,6.06636706846161
EState_VSA6,13.176164609739143
EState_VSA7,43.321939610460284
EState_VSA8,0.0
EState_VSA9,13.890876844653445
SlogP_VSA10,0.0
SlogP_VSA11,11.49902366656781
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
