DLiP-ID,T005OZ
DLiP-Mol-ID,22795
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H24N2O4S/c1-15-5-10-18(19(23)13-15)21-20(24)14-16-6-8-17(9-7-16)27(25,26)22-11-3-2-4-12-22/h5-10,13,23H,2-4,11-12,14H2,1H3,(H,21,24)"
Standard Inchi Key(RDKit),RTGDKRSUECVKCL-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1ccc(NC(=O)Cc2ccc(S(=O)(=O)N3CCCCC3)cc2)c(O)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),388.489
MW Monoisotopic(RDKit),388.145678248
MolLogP(RDKit),3.05642
XLogP(SDF),
XLogP(CDK),3.217
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),86.71
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),27
QED Weighted(RDKit),0.770977847720683
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Rac1/GEFs
Common Target Pref Name,RAC1/TIAM1
RDKit Descriptors
Ipc,1114630.7334297264
qed,0.7709778477206829
Chi0,19.440946820939047
Chi1,12.858210476585922
TPSA,86.71000000000001
Chi0n,15.311512924302038
Chi0v,16.128009505229763
Chi1n,9.046725997360959
Chi1v,10.486789326161597
Chi2n,6.854252758098924
Chi2v,8.792187738040592
Chi3n,4.668162989737032
Chi3v,6.581031489623633
Chi4n,3.1607677037753157
Chi4v,4.677846682957688
MolMR,104.22930000000004
MolWt,388.48900000000026
fr_SH,0
Kappa1,19.383479214094237
Kappa2,8.102901424896904
Kappa3,4.670478352677884
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,917.4979396751681
MolLogP,3.056420000000002
NOCount,6
fr_Ar_N,0
fr_COO2,0
fr_urea,0
