DLiP-ID,P000FD
DLiP-Mol-ID,25646
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H19NO4S/c1-19-13-9-11(10-14(20-2)15(13)21-3)16(18)17-7-6-12-5-4-8-22-12/h4-5,8-10H,6-7H2,1-3H3,(H,17,18)"
Standard Inchi Key(RDKit),SKGBFUKYQVAIFX-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1cc(C(=O)NCCc2cccs2)cc(OC)c1OC
SMILES(SDF),
MW(SDF),
MW(RDKit),321.398
MW Monoisotopic(RDKit),321.103479088
MolLogP(RDKit),2.7464
XLogP(SDF),
XLogP(CDK),1.834
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),56.79
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),22
QED Weighted(RDKit),0.85178112097839
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,BRD4-1/H4
Common Target Pref Name,Bromodomain/Histone
RDKit Descriptors
Ipc,129750.2091391348
qed,0.8517811209783894
Chi0,15.94938298937633
Chi1,10.689401807851764
TPSA,56.790000000000006
Chi0n,12.842206360640542
Chi0v,13.658702941568269
Chi1n,6.798216978774042
Chi1v,7.677869790028938
Chi2n,4.499279390344197
Chi2v,5.531524572705951
Chi3n,3.163974128228438
Chi3v,4.100148070854576
