DLiP-ID,T006GR
DLiP-Mol-ID,23993
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H27N3O3/c26-20(24-15-19(22(27)28)16-7-2-1-3-8-16)11-5-4-10-18-13-12-17-9-6-14-23-21(17)25-18/h1-3,7-8,12-13,19H,4-6,9-11,14-15H2,(H,23,25)(H,24,26)(H,27,28)"
Standard Inchi Key(RDKit),UTLUMEAXMVYDSF-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(CCCCc1ccc2c(n1)NCCC2)NCC(C(=O)O)c1ccccc1
SMILES(SDF),
MW(SDF),
MW(RDKit),381.476
MW Monoisotopic(RDKit),381.205241724
MolLogP(RDKit),3.1371
XLogP(SDF),
XLogP(CDK),2.569
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),91.32
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),9
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),28
QED Weighted(RDKit),0.580622636549089
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,2481099.0937156873
qed,0.580622636549089
Chi0,19.769373945685235
Chi1,13.631030293135236
TPSA,91.32000000000001
Chi0n,15.986580174937034
Chi0v,15.986580174937034
Chi1n,9.903801401379578
Chi1v,9.903801401379578
Chi2n,7.15334058198634
Chi2v,7.15334058198634
Chi3n,5.041963194548193
Chi3v,5.041963194548193
Chi4n,3.4371033133834903
Chi4v,3.4371033133834903
MolMR,108.43120000000003
MolWt,381.47600000000006
fr_SH,0
Kappa1,19.860130518709994
Kappa2,9.875114149732184
Kappa3,5.5517739714654
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,807.9292062680162
MolLogP,3.137100000000001
NOCount,6
fr_Ar_N,1
fr_COO2,1
fr_urea,0
BalabanJ,1.3891216420372825
SMR_VSA1,14.69560176298435
SMR_VSA2,0.0
SMR_VSA3,10.30076712495354
SMR_VSA4,0.0
SMR_VSA5,44.442835783717456
SMR_VSA6,18.406301415831482
SMR_VSA7,59.28540045747372
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,164.93367973084057
NHOHCount,3
PEOE_VSA1,15.740104602853368
PEOE_VSA2,9.589074368143644
PEOE_VSA3,4.9839785209472085
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,36.39820241076966
PEOE_VSA7,49.29737816648564
PEOE_VSA8,25.204262429599623
PEOE_VSA9,5.917906046161393
RingCount,3
SMR_VSA10,17.694347795138384
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,381.20524172399996
NumHDonors,3
PEOE_VSA10,5.817862777835028
PEOE_VSA11,0.0
PEOE_VSA12,5.907179729351506
PEOE_VSA13,0.0
PEOE_VSA14,5.969305287951849
SlogP_VSA1,10.633577208012662
SlogP_VSA2,35.05650374491642
SlogP_VSA3,22.43071761399566
SlogP_VSA4,0.0
SlogP_VSA5,48.422023516107885
SlogP_VSA6,42.46456947923127
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,11.887211334113243
EState_VSA2,12.45193613526408
EState_VSA3,11.984273114623004
