DLiP-ID,T004EU
DLiP-Mol-ID,18107
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H18Cl2N2O5S2/c19-11-7-12(20)9-14(8-11)29(26,27)22-5-1-4-16(22)17(23)21-15(18(24)25)10-13-3-2-6-28-13/h2-3,6-9,15-16H,1,4-5,10H2,(H,21,23)(H,24,25)/t15-,16-/m0/s1"
Standard Inchi Key(RDKit),NXAVFGCSONIIII-HOTGVXAUSA-N
Canonical SMILES(RDKit),O=C(O)[C@H](Cc1cccs1)NC(=O)[C@@H]1CCCN1S(=O)(=O)c1cc(Cl)cc(Cl)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),477.391
MW Monoisotopic(RDKit),476.003419036
MolLogP(RDKit),3.0201
XLogP(SDF),
XLogP(CDK),2.55
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),103.78
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),29
QED Weighted(RDKit),0.638340299739871
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,3128382.0195344677
qed,0.6383402997398706
Chi0,21.181433796945203
Chi1,13.679577681631839
TPSA,103.78
Chi0n,15.047075158064748
Chi0v,18.19192621195711
Chi1n,8.717572271150633
Chi1v,11.793217357224623
Chi2n,6.561832568714048
Chi2v,10.357503912892165
Chi3n,4.548991517504985
Chi3v,7.770079156300176
Chi4n,3.200625056313733
Chi4v,6.336217616956713
MolMR,110.96530000000001
MolWt,477.3910000000001
fr_SH,0
Kappa1,22.04460688570359
Kappa2,9.010696112354978
Kappa3,5.099684401390838
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,991.0137362880383
MolLogP,3.020100000000002
NOCount,7
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,1.796585751387003
SMR_VSA1,23.113398747313287
SMR_VSA2,0.0
SMR_VSA3,9.622004595302565
SMR_VSA4,0.0
SMR_VSA5,36.24163000259173
SMR_VSA6,6.544756405912575
SMR_VSA7,50.63431193395791
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,181.8368485098895
NHOHCount,2
PEOE_VSA1,10.423315998847038
PEOE_VSA2,4.794537184071822
PEOE_VSA3,13.212334168400758
PEOE_VSA4,4.305215991296234
PEOE_VSA5,11.336785877934737
PEOE_VSA6,29.268246848926644
PEOE_VSA7,42.487174290164376
PEOE_VSA8,27.887991850022537
PEOE_VSA9,4.895483475517775
RingCount,3
SMR_VSA10,56.43844182911071
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,476.0034190359999
NumHDonors,2
PEOE_VSA10,12.083681658295921
PEOE_VSA11,0.0
PEOE_VSA12,15.930470882759089
PEOE_VSA13,0.0
PEOE_VSA14,5.969305287951849
SlogP_VSA1,5.316788604006331
SlogP_VSA2,48.334463451977726
SlogP_VSA3,26.033187144477235
SlogP_VSA4,0.0
SlogP_VSA5,17.718790439553317
SlogP_VSA6,40.60738158829174
SlogP_VSA7,10.045266627482652
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,2
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
