DLiP-ID,J1005E
DLiP-Mol-ID,36896
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H15N3O4/c1-12-17(18(20-26-12)13-5-3-2-4-6-13)19(23)21-10-9-14-11-15(22(24)25)7-8-16(14)21/h2-8,11H,9-10H2,1H3"
Standard Inchi Key(RDKit),YOYPFGLABKKHOM-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1onc(-c2ccccc2)c1C(=O)N1CCc2cc([N+](=O)[O-])ccc21
SMILES(SDF),
MW(SDF),
MW(RDKit),349.346
MW Monoisotopic(RDKit),349.10625596
MolLogP(RDKit),3.76112
XLogP(SDF),
XLogP(CDK),3.607
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),89.48
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.530361946258766
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,GATA4/NKX2-5
Common Target Pref Name,GATA4/NKX2-5
RDKit Descriptors
Ipc,1441973.0359003954
qed,0.5303619462587664
Chi0,18.258784066134833
Chi1,12.558550648063802
TPSA,89.48
Chi0n,14.007649664245431
Chi0v,14.007649664245431
