DLiP-ID,T005RH
DLiP-Mol-ID,22912
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H21F2N5O4/c1-28-9-12-5-11(3-4-15(12)25-18(22(28)33)8-20(30)31)21(32)29(2)10-19-26-16-6-13(23)14(24)7-17(16)27-19/h3-7,18,25H,8-10H2,1-2H3,(H,26,27)(H,30,31)/t18-/m0/s1"
Standard Inchi Key(RDKit),RZMDOCONQPJDQB-SFHVURJKSA-N
Canonical SMILES(RDKit),CN(Cc1nc2cc(F)c(F)cc2[nH]1)C(=O)c1ccc2c(c1)CN(C)C(=O)[C@H](CC(=O)O)N2
SMILES(SDF),
MW(SDF),
MW(RDKit),457.437
MW Monoisotopic(RDKit),457.156160592
MolLogP(RDKit),2.3405
XLogP(SDF),
XLogP(CDK),2.055
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),118.63
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),33
QED Weighted(RDKit),0.541330148970348
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,21175639.582279854
qed,0.5413301489703483
Chi0,23.861078361706788
Chi1,15.617101296127604
TPSA,118.63000000000001
Chi0n,17.854950158107272
Chi0v,17.854950158107272
Chi1n,10.074246762013656
Chi1v,10.074246762013656
Chi2n,7.989190567417683
Chi2v,7.989190567417683
Chi3n,5.449123116598209
Chi3v,5.449123116598209
Chi4n,3.8097277501248192
Chi4v,3.8097277501248192
MolMR,114.38670000000006
MolWt,457.43700000000024
fr_SH,0
Kappa1,22.183848089859165
Kappa2,8.489733141634463
Kappa3,4.472667251547247
fr_ArN,0
fr_COO,1
fr_C_O,3
fr_C_S,0
fr_NH0,3
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1236.1498238989923
MolLogP,2.3404999999999996
