DLiP-ID,I000IN
DLiP-Mol-ID,28469
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H28N6O4/c1-14-13-28(21-16-5-7-25-17(16)6-8-26-21)9-10-29(14)23(31)15(2)33-20-12-27-18(22(30)24-3)11-19(20)32-4/h5-8,11-12,14-15,25H,9-10,13H2,1-4H3,(H,24,30)/t14-,15+/m1/s1"
Standard Inchi Key(RDKit),IXLOAKYSBRSRLJ-CABCVRRESA-N
Canonical SMILES(RDKit),CNC(=O)c1cc(OC)c(O[C@@H](C)C(=O)N2CCN(c3nccc4[nH]ccc34)C[C@H]2C)cn1
SMILES(SDF),
MW(SDF),
MW(RDKit),452.515
MW Monoisotopic(RDKit),452.217203376
MolLogP(RDKit),1.8307
XLogP(SDF),
XLogP(CDK),1.686
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),10
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),112.68
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),33
QED Weighted(RDKit),0.586705162492135
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,CD4_gp120
Common Target Pref Name,CD4/gp120
RDKit Descriptors
Ipc,36806670.4588469
qed,0.5867051624921347
Chi0,23.53480494807372
Chi1,15.922253953220075
TPSA,112.67999999999999
Chi0n,19.161970040931937
Chi0v,19.161970040931937
Chi1n,10.828495727752491
Chi1v,10.828495727752491
Chi2n,7.959740524626922
Chi2v,7.959740524626922
Chi3n,5.830714383234226
Chi3v,5.830714383234226
Chi4n,4.095539316199425
Chi4v,4.095539316199425
MolMR,123.75090000000003
MolWt,452.5150000000001
fr_SH,0
Kappa1,22.37665600697753
Kappa2,9.352420398567373
Kappa3,4.409879754118024
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,4
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1162.81405856678
MolLogP,1.830699999999999
NOCount,10
fr_Ar_N,3
fr_COO2,0
