DLiP-ID,T000AL
DLiP-Mol-ID,15709
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H20N2O4/c20-10-13-1-3-14(4-2-13)12-25-16-5-6-17-15(9-16)7-8-21(19(17)24)11-18(22)23/h1-6,9H,7-8,10-12,20H2,(H,22,23)"
Standard Inchi Key(RDKit),AVVBEVOPTBPEPY-UHFFFAOYSA-N
Canonical SMILES(RDKit),NCc1ccc(COc2ccc3c(c2)CCN(CC(=O)O)C3=O)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),340.379
MW Monoisotopic(RDKit),340.14230712
MolLogP(RDKit),1.8072
XLogP(SDF),
XLogP(CDK),-0.621999999999999
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),92.86
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),25
QED Weighted(RDKit),0.836437637132656
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,502339.5955335867
qed,0.8364376371326561
Chi0,17.811190308942127
Chi1,12.062881945713373
TPSA,92.86000000000001
Chi0n,13.773508121841253
Chi0v,13.773508121841253
Chi1n,8.112579627419706
Chi1v,8.112579627419706
Chi2n,5.9986955830252295
Chi2v,5.9986955830252295
Chi3n,4.235684803000712
Chi3v,4.235684803000712
Chi4n,2.855016948913336
Chi4v,2.855016948913336
MolMR,92.35070000000003
MolWt,340.379
fr_SH,0
Kappa1,16.97903685282414
Kappa2,7.356934370998634
Kappa3,3.974881557609362
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,786.5111437877974
MolLogP,1.8071999999999997
NOCount,6
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,1.6700946523438382
SMR_VSA1,19.4324647167844
SMR_VSA2,0.0
SMR_VSA3,4.899909730850478
SMR_VSA4,5.733667477162185
SMR_VSA5,19.5724599933515
SMR_VSA6,13.08951281182515
SMR_VSA7,64.71837544601925
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,145.36780852181454
NHOHCount,3
PEOE_VSA1,20.47696755665342
PEOE_VSA2,9.589074368143644
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,24.26546827384644
