DLiP-ID,I000OA
DLiP-Mol-ID,28701
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H10F2O3/c16-10-5-9(6-11(17)7-10)1-4-14(19)13-3-2-12(18)8-15(13)20/h1-8,18,20H"
Standard Inchi Key(RDKit),LHTJCEJXRYTIIW-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(C=Cc1cc(F)cc(F)c1)c1ccc(O)cc1O
SMILES(SDF),
MW(SDF),
MW(RDKit),276.238
MW Monoisotopic(RDKit),276.05980062
MolLogP(RDKit),3.2721
XLogP(SDF),
XLogP(CDK),3.787
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),57.53
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),20
QED Weighted(RDKit),0.667853084273777
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,LEDGF_IN
Common Target Pref Name,LEDGF/IN
RDKit Descriptors
Ipc,26096.239290211786
qed,0.6678530842737768
Chi0,14.698306133819765
Chi1,9.452397498181153
TPSA,57.53
Chi0n,10.177406580999243
Chi0v,10.177406580999243
Chi1n,5.66007049554554
Chi1v,5.66007049554554
Chi2n,4.101817921827359
Chi2v,4.101817921827359
Chi3n,2.5588171582589467
Chi3v,2.5588171582589467
Chi4n,1.661474833815314
Chi4v,1.661474833815314
MolMR,69.49410000000002
MolWt,276.238
fr_SH,0
Kappa1,13.734988538612718
Kappa2,5.522842347931519
Kappa3,3.1980726328987146
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
