DLiP-ID,I000HQ
DLiP-Mol-ID,28431
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C26H30FN3O4S/c27-22-6-3-5-21(19-22)26(31,25-7-1-2-14-29-25)20-12-16-30(17-13-20)15-4-18-34-23-8-10-24(11-9-23)35(28,32)33/h1-3,5-11,14,19-20,31H,4,12-13,15-18H2,(H2,28,32,33)/t26-/m1/s1"
Standard Inchi Key(RDKit),INGQKBOOCCZMBG-AREMUKBSSA-N
Canonical SMILES(RDKit),NS(=O)(=O)c1ccc(OCCCN2CCC([C@@](O)(c3cccc(F)c3)c3ccccn3)CC2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),499.608
MW Monoisotopic(RDKit),499.19410566
MolLogP(RDKit),3.2851
XLogP(SDF),
XLogP(CDK),3.01
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),105.75
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),9
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),35
QED Weighted(RDKit),0.437925288797598
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,MENIN_MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,70383187.56018578
qed,0.43792528879759784
Chi0,24.89069428924487
Chi1,16.76402345499069
TPSA,105.75
Chi0n,19.385249658325147
Chi0v,20.201746239252873
Chi1n,11.645618298798961
Chi1v,13.191937776720524
Chi2n,8.826049999289182
Chi2v,10.387473056756765
Chi3n,6.538190265775507
Chi3v,7.467421499187073
Chi4n,4.684565115268563
Chi4v,5.200004941242417
MolMR,130.72699999999998
MolWt,499.6080000000001
fr_SH,0
Kappa1,25.249130125109012
Kappa2,10.822844230785769
Kappa3,6.04888700924226
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,1216.8590125699577
MolLogP,3.2851000000000017
NOCount,7
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.3209955601099923
SMR_VSA1,22.651602380644512
SMR_VSA2,0.0
SMR_VSA3,9.883888251797686
SMR_VSA4,11.056879783769336
SMR_VSA5,29.758999155279493
SMR_VSA6,26.241151182250643
SMR_VSA7,90.00148165228215
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,1
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,204.977702032872
NHOHCount,3
PEOE_VSA1,14.743300079491233
PEOE_VSA2,4.9839785209472085
PEOE_VSA3,17.9471857696117
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,18.19910120538483
PEOE_VSA7,86.44636571999307
PEOE_VSA8,18.659506023687044
PEOE_VSA9,17.196293434879156
RingCount,4
SMR_VSA10,10.023291153407584
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,499.19410566
NumHDonors,2
PEOE_VSA10,17.16778348531349
PEOE_VSA11,0.0
PEOE_VSA12,10.023291153407584
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,9.87583669140799
SlogP_VSA2,49.649363813217974
SlogP_VSA3,15.624341964391272
SlogP_VSA4,11.735126887207288
SlogP_VSA5,30.519844355323485
SlogP_VSA6,77.82236480020858
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,1
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,15.624341964391272
EState_VSA2,16.630610362725065
EState_VSA3,23.61377328434228
EState_VSA4,38.89673408651576
EState_VSA5,24.26546827384644
EState_VSA6,42.595045982382736
EState_VSA7,6.06636706846161
