DLiP-ID,C100NL
DLiP-Mol-ID,35863
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H16BrNO6/c1-2-26-16-10-12(8-14(21)18(16)27-11-17(23)24)9-15-20(25)28-19(22-15)13-6-4-3-5-7-13/h3-10H,2,11H2,1H3,(H,23,24)/b15-9-"
Standard Inchi Key(RDKit),VYPBPMWGSUWZDT-DHDCSXOGSA-N
Canonical SMILES(RDKit),CCOc1cc(/C=C2\N=C(c3ccccc3)OC2=O)cc(Br)c1OCC(=O)O
SMILES(SDF),
MW(SDF),
MW(RDKit),446.253
MW Monoisotopic(RDKit),445.016099332
MolLogP(RDKit),3.6557
XLogP(SDF),
XLogP(CDK),3.943
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),94.42
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),28
QED Weighted(RDKit),0.515618642140359
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Keap1/Nrf2
Common Target Pref Name,KEAP1/NRF2
RDKit Descriptors
Ipc,2225851.0915943845
qed,0.5156186421403592
Chi0,20.0956473593183
Chi1,13.473565548236333
TPSA,94.42
Chi0n,14.846648832218563
Chi0v,16.432645371333265
Chi1n,8.365292352207424
Chi1v,9.158290621764776
Chi2n,5.647492956908494
Chi2v,6.501829856083015
Chi3n,3.6163120509356936
Chi3v,4.205350594466748
Chi4n,2.4794154958156143
Chi4v,3.053602181504554
MolMR,105.48980000000006
MolWt,446.25300000000016
fr_SH,0
Kappa1,19.626609896801497
Kappa2,8.705508381382561
Kappa3,4.580143158023261
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,968.1612470027461
MolLogP,3.6557000000000013
NOCount,7
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,1.934673195863904
SMR_VSA1,28.906190624384493
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,4.992404732635669
SMR_VSA5,6.923737199690624
SMR_VSA6,13.213763929025836
SMR_VSA7,63.76123129151351
SMR_VSA8,0.0
SMR_VSA9,11.49902366656781
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,1
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,1
fr_ether,3
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,168.93338378732608
NHOHCount,1
PEOE_VSA1,19.31711625624085
PEOE_VSA2,0.0
PEOE_VSA3,14.581479100779312
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,18.19910120538483
PEOE_VSA7,58.75862097001729
PEOE_VSA8,5.563451491696996
PEOE_VSA9,11.079601480345332
RingCount,3
SMR_VSA10,39.84231992504454
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,445.0160993319999
NumHDonors,1
PEOE_VSA10,0.0
PEOE_VSA11,23.802944944136563
PEOE_VSA12,5.897745344357611
PEOE_VSA13,0.0
PEOE_VSA14,11.938610575903699
SlogP_VSA1,9.473725907600098
SlogP_VSA2,36.15664724412785
SlogP_VSA3,14.325937321943691
SlogP_VSA4,0.0
SlogP_VSA5,18.050640183084614
SlogP_VSA6,57.626733040755184
SlogP_VSA7,0.0
SlogP_VSA8,6.076020106833881
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,1
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,1
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,18.545492540416618
EState_VSA2,17.34429649069735
EState_VSA3,27.956016297023226
EState_VSA4,0.0
EState_VSA5,0.0
EState_VSA6,37.265225580370945
EState_VSA7,18.19910120538483
EState_VSA8,20.922348630585017
EState_VSA9,19.31711625624085
SlogP_VSA10,0.0
SlogP_VSA11,11.49902366656781
SlogP_VSA12,15.929943897949348
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
