DLiP-ID,C100OJ
DLiP-Mol-ID,35924
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H12N4O3/c17-15(21)11-4-1-3-10(7-11)14-9-20(19-18-14)13-6-2-5-12(8-13)16(22)23/h1-9H,(H2,17,21)(H,22,23)"
Standard Inchi Key(RDKit),UYUDGWUCNRAQFU-UHFFFAOYSA-N
Canonical SMILES(RDKit),NC(=O)c1cccc(-c2cn(-c3cccc(C(=O)O)c3)nn2)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),308.297
MW Monoisotopic(RDKit),308.090940244
MolLogP(RDKit),1.7314
XLogP(SDF),
XLogP(CDK),1.981
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),111.1
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),23
QED Weighted(RDKit),0.762125362620214
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Keap1/Nrf2
Common Target Pref Name,KEAP1/NRF2
RDKit Descriptors
Ipc,243703.62718309296
qed,0.7621253626202141
Chi0,16.396976746569035
Chi1,11.041713895658193
TPSA,111.10000000000001
Chi0n,11.87885365482382
Chi0v,11.87885365482382
Chi1n,6.707352252742425
Chi1v,6.707352252742425
Chi2n,4.848888349170165
Chi2v,4.848888349170165
Chi3n,3.2938881233795425
Chi3v,3.2938881233795425
Chi4n,2.1355093073045475
Chi4v,2.1355093073045475
MolMR,82.27220000000003
MolWt,308.29699999999997
fr_SH,0
Kappa1,14.456968809165158
Kappa2,5.721853951403024
Kappa3,2.9318812671470624
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,3
fr_NH1,0
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,829.6008230756735
MolLogP,1.7314
NOCount,7
fr_Ar_N,3
fr_COO2,1
fr_urea,0
BalabanJ,1.9748225263112207
SMR_VSA1,14.69560176298435
SMR_VSA2,0.0
SMR_VSA3,14.993869839101091
SMR_VSA4,5.733667477162185
SMR_VSA5,0.0
