DLiP-ID,T004K8
DLiP-Mol-ID,19309
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C26H35N5O5/c1-17(32)29-21-14-18-8-7-13-27-26(18)30-20(21)9-5-6-10-24(33)31(2)22(15-25(34)36-4)19-11-12-23(35-3)28-16-19/h11-12,14,16,22H,5-10,13,15H2,1-4H3,(H,27,30)(H,29,32)/t22-/m0/s1"
Standard Inchi Key(RDKit),OJTBKASAMAYZRX-QFIPXVFZSA-N
Canonical SMILES(RDKit),COC(=O)C[C@@H](c1ccc(OC)nc1)N(C)C(=O)CCCCc1nc2c(cc1NC(C)=O)CCCN2
SMILES(SDF),
MW(SDF),
MW(RDKit),497.596
MW Monoisotopic(RDKit),497.26381922
MolLogP(RDKit),3.2773
XLogP(SDF),
XLogP(CDK),2.0
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),8
HBA Lipinski(RDKit),10
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),122.75
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),11
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),36
QED Weighted(RDKit),0.358220109729456
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,86711100.14370781
qed,0.35822010972945584
Chi0,26.078775022443736
Chi1,17.316100803337424
TPSA,122.75
Chi0n,21.4264878342597
Chi0v,21.4264878342597
Chi1n,12.186555257414023
Chi1v,12.186555257414023
Chi2n,8.843570614675503
Chi2v,8.843570614675503
Chi3n,6.26237753804548
Chi3v,6.26237753804548
Chi4n,4.258611874952088
Chi4v,4.258611874952088
MolMR,135.83939999999998
MolWt,497.5960000000004
fr_SH,0
Kappa1,26.90677562261076
Kappa2,12.85135866184984
Kappa3,7.158778354888403
fr_ArN,0
fr_COO,0
fr_C_O,3
fr_C_S,0
fr_NH0,3
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1073.1397351717017
MolLogP,3.277300000000001
NOCount,10
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.6211174987899173
