DLiP-ID,C003AS
DLiP-Mol-ID,33778
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C7H5NO4/c9-6(10)4-2-1-3-8-5(4)7(11)12/h1-3H,(H,9,10)(H,11,12)"
Standard Inchi Key(RDKit),GJAWHXHKYYXBSV-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(O)c1cccnc1C(=O)O
SMILES(SDF),
MW(SDF),
MW(RDKit),167.12
MW Monoisotopic(RDKit),167.02185764
MolLogP(RDKit),0.478
XLogP(SDF),
XLogP(CDK),0.089
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),87.49
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),1
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),12
QED Weighted(RDKit),0.668249894272533
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
Common Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
RDKit Descriptors
Ipc,475.34882900419825
qed,0.6682498942725326
Chi0,9.137828201504695
Chi1,5.625897657686228
TPSA,87.49
Chi0n,5.890188174996478
Chi0v,5.890188174996478
Chi1n,3.042609374722441
Chi1v,3.042609374722441
Chi2n,2.0098744609318664
Chi2v,2.0098744609318664
Chi3n,1.2406975632459418
Chi3v,1.2406975632459418
Chi4n,0.7483045383662696
Chi4v,0.7483045383662696
MolMR,38.1556
MolWt,167.11999999999998
fr_SH,0
Kappa1,8.189108027750247
Kappa2,2.99667013888714
Kappa3,1.3923770826050499
fr_ArN,0
fr_COO,2
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,300.933190204761
MolLogP,0.478
NOCount,5
fr_Ar_N,1
fr_COO2,2
fr_urea,0
BalabanJ,3.2670761957037717
SMR_VSA1,19.802129157825057
SMR_VSA2,0.0
SMR_VSA3,4.9839785209472085
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,0.0
SMR_VSA7,29.586957195081755
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,67.29244703371624
NHOHCount,2
PEOE_VSA1,10.213054789681411
PEOE_VSA2,0.0
PEOE_VSA3,14.573052889090853
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,0.0
PEOE_VSA7,12.13273413692322
PEOE_VSA8,6.196843571613076
PEOE_VSA9,5.563451491696996
RingCount,1
SMR_VSA10,11.938610575903699
fr_Al_COO,0
fr_Ar_COO,2
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,167.02185764
NumHDonors,2
PEOE_VSA10,0.0
PEOE_VSA11,5.693927994848461
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,11.938610575903699
SlogP_VSA1,0.0
SlogP_VSA2,27.135643886532314
SlogP_VSA3,0.0
SlogP_VSA4,0.0
SlogP_VSA5,20.8464538546891
SlogP_VSA6,18.3295777085363
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,0
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,17.63253857075216
