DLiP-ID,P000LD
DLiP-Mol-ID,26654
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H27N3O6S/c1-5-14-18(17(26)11-24)12(4)21-19(14)20(27)22-15-10-13(8-9-16(15)25)30(28,29)23(6-2)7-3/h8-10,21,24-25H,5-7,11H2,1-4H3,(H,22,27)"
Standard Inchi Key(RDKit),ZRRMTUAVTCNCOA-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCc1c(C(=O)Nc2cc(S(=O)(=O)N(CC)CC)ccc2O)[nH]c(C)c1C(=O)CO
SMILES(SDF),
MW(SDF),
MW(RDKit),437.518
MW Monoisotopic(RDKit),437.162056584
MolLogP(RDKit),2.04892
XLogP(SDF),
XLogP(CDK),1.828
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),139.8
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),9
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.34962714144063
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,BRD4-1/H4
Common Target Pref Name,Bromodomain/Histone
RDKit Descriptors
Ipc,3130427.5351456855
qed,0.34962714144062984
Chi0,22.637463722575188
Chi1,14.11415795626068
TPSA,139.79999999999998
Chi0n,17.443360171134255
Chi0v,18.259856752061985
Chi1n,9.617031047123449
Chi1v,11.05709437592409
