DLiP-ID,T006JK
DLiP-Mol-ID,24122
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H22N2O3S/c1-15-9-11-17(12-10-15)25(23,24)21-13-5-8-18(21)19(22)20-14-16-6-3-2-4-7-16/h2-4,6-7,9-12,18H,5,8,13-14H2,1H3,(H,20,22)"
Standard Inchi Key(RDKit),VAPPDBCEXXEYLV-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1ccc(S(=O)(=O)N2CCCC2C(=O)NCc2ccccc2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),358.463
MW Monoisotopic(RDKit),358.135113564
MolLogP(RDKit),2.46452
XLogP(SDF),
XLogP(CDK),3.038
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),66.48
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),25
QED Weighted(RDKit),0.892803131321962
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,FKBP1A/FK506
Common Target Pref Name,FKBP1A/FK506
RDKit Descriptors
Ipc,620591.5691111707
qed,0.8928031313219619
Chi0,17.86359655174942
Chi1,11.981200378874176
TPSA,66.48
Chi0n,14.182136573997862
Chi0v,14.998633154925589
Chi1n,8.384663479210351
Chi1v,9.824726808010995
Chi2n,6.290237574697407
Chi2v,8.18079217556981
Chi3n,4.443478300235115
Chi3v,6.365876961077847
Chi4n,3.038350277695025
Chi4v,4.694786124667855
MolMR,96.38150000000003
MolWt,358.463
fr_SH,0
Kappa1,17.636872619037568
Kappa2,7.371655541807305
Kappa3,3.910202308969193
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,832.7327437402639
MolLogP,2.4645200000000003
NOCount,5
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.7284386184687912
SMR_VSA1,13.212334168400758
SMR_VSA2,0.0
SMR_VSA3,9.622004595302565
SMR_VSA4,0.0
SMR_VSA5,37.247461156120956
SMR_VSA6,6.544756405912575
SMR_VSA7,65.72420659954848
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,148.26925481907827
NHOHCount,1
PEOE_VSA1,5.316788604006331
PEOE_VSA2,4.794537184071822
PEOE_VSA3,8.417796984328938
PEOE_VSA4,4.305215991296234
PEOE_VSA5,0.0
PEOE_VSA6,48.02802097092827
PEOE_VSA7,37.46156607416286
PEOE_VSA8,13.08951281182515
PEOE_VSA9,4.895483475517775
RingCount,3
SMR_VSA10,15.930470882759089
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,358.135113564
NumHDonors,1
PEOE_VSA10,6.041840829147961
PEOE_VSA11,0.0
PEOE_VSA12,15.930470882759089
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,5.316788604006331
SlogP_VSA2,31.216789940037213
SlogP_VSA3,21.36258474339198
