DLiP-ID,C000D7
DLiP-Mol-ID,30638
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H22N4O3/c1-3-6-13-14(9-8-12(11(2)21)16(13)22)23-10-5-4-7-15-17-19-20-18-15/h8-9,22H,3-7,10H2,1-2H3,(H,17,18,19,20)"
Standard Inchi Key(RDKit),MWYHLEQJTQJHSS-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCCc1c(OCCCCc2nnn[nH]2)ccc(C(C)=O)c1O
SMILES(SDF),
MW(SDF),
MW(RDKit),318.377
MW Monoisotopic(RDKit),318.169190564
MolLogP(RDKit),2.4621
XLogP(SDF),
XLogP(CDK),4.073
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),100.99
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),9
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),23
QED Weighted(RDKit),0.543848031541814
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,190728.41615374616
qed,0.5438480315418144
Chi0,16.656489770562878
Chi1,11.130228955335802
TPSA,100.99000000000001
Chi0n,13.502692188426098
Chi0v,13.502692188426098
Chi1n,7.842640983204668
Chi1v,7.842640983204668
Chi2n,5.398114233101338
Chi2v,5.398114233101338
Chi3n,3.573758943905835
Chi3v,3.573758943905835
Chi4n,2.390041981094539
Chi4v,2.390041981094539
MolMR,84.71700000000003
MolWt,318.3770000000001
fr_SH,0
Kappa1,16.922452284000123
Kappa2,8.260539039145069
Kappa3,4.512378273297932
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,3
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,641.0249469911976
