DLiP-ID,I001BJ
DLiP-Mol-ID,29709
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H12N2O/c1-11(18)15-10-12(13-6-2-4-8-16-13)14-7-3-5-9-17(14)15/h2-10H,1H3"
Standard Inchi Key(RDKit),WOSGOHDUUBVSBO-UHFFFAOYSA-N
Canonical SMILES(RDKit),CC(=O)c1cc(-c2ccccn2)c2ccccn12
SMILES(SDF),
MW(SDF),
MW(RDKit),236.274
MW Monoisotopic(RDKit),236.094963004
MolLogP(RDKit),3.2039
XLogP(SDF),
XLogP(CDK),3.127
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),34.37
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),18
QED Weighted(RDKit),0.640197473554877
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Bromodomain_Histone
Common Target Pref Name,Bromodomain/Histone
RDKit Descriptors
Ipc,24612.179528237375
qed,0.640197473554877
Chi0,12.535169427003234
Chi1,8.770856947829097
TPSA,34.370000000000005
Chi0n,9.998827904170414
Chi0v,9.998827904170414
Chi1n,5.796042856355443
Chi1v,5.796042856355443
Chi2n,4.170297975626585
Chi2v,4.170297975626585
Chi3n,2.9779816056680066
Chi3v,2.9779816056680066
