DLiP-ID,T003VG
DLiP-Mol-ID,20883
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C28H20N4O4/c29-9-11-31-25(33)17-5-1-13-14-2-6-19-24-20(28(36)32(12-10-30)27(19)35)8-4-16(22(14)24)15-3-7-18(26(31)34)23(17)21(13)15/h1-8H,9-12,29-30H2"
Standard Inchi Key(RDKit),MLAXBGUZCGSTDS-UHFFFAOYSA-N
Canonical SMILES(RDKit),NCCn1c(=O)c2ccc3c4ccc5c(=O)n(CCN)c(=O)c6ccc(c7ccc(c1=O)c2c37)c4c56
SMILES(SDF),
MW(SDF),
MW(RDKit),476.492
MW Monoisotopic(RDKit),476.14845512
MolLogP(RDKit),1.8804
XLogP(SDF),
XLogP(CDK),4.878
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),8
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),130.18
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),7
Aromatic Rings(RDKit),7
nAtoms(SDF),
Heavy Atoms(RDKit),36
QED Weighted(RDKit),0.29470765213146
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,HIF-1a/p300
Common Target Pref Name,HIF-1a/p300
RDKit Descriptors
Ipc,259754778.814965
qed,0.29470765213145994
Chi0,24.877586219651835
Chi1,17.472764210436896
TPSA,130.18
Chi0n,19.129350169497823
Chi0v,19.129350169497823
Chi1n,11.802610294980882
Chi1v,11.802610294980882
Chi2n,9.243970862199003
Chi2v,9.243970862199003
Chi3n,7.509361224028131
Chi3v,7.509361224028131
Chi4n,6.032129577649901
Chi4v,6.032129577649901
MolMR,144.2047999999999
MolWt,476.4920000000003
fr_SH,0
Kappa1,20.92927795382526
Kappa2,7.0655085174565695
Kappa3,2.345504991009982
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,2
fr_N_O,0
fr_azo,0
BertzCT,1960.2225446144023
MolLogP,1.8804000000000003
NOCount,8
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.769874018186039
SMR_VSA1,0.0
SMR_VSA2,0.0
SMR_VSA3,9.13419929558271
SMR_VSA4,11.46733495432437
SMR_VSA5,13.08951281182515
SMR_VSA6,13.08951281182515
SMR_VSA7,89.9461528641882
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,201.12431725704994
NHOHCount,4
PEOE_VSA1,11.46733495432437
PEOE_VSA2,28.312348031869995
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,24.26546827384644
PEOE_VSA7,56.582813560635216
PEOE_VSA8,58.496370910439076
PEOE_VSA9,0.0
RingCount,7
SMR_VSA10,64.63469057357754
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,476.14845511999994
NumHDonors,2
PEOE_VSA10,0.0
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,22.237067580208027
PEOE_VSA14,0.0
SlogP_VSA1,33.7044025345324
SlogP_VSA2,22.22371210740786
SlogP_VSA3,13.08951281182515
SlogP_VSA4,0.0
SlogP_VSA5,0.0
SlogP_VSA6,67.70908528398017
SlogP_VSA7,0.0
SlogP_VSA8,64.63469057357754
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,5
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
