DLiP-ID,P000D7
DLiP-Mol-ID,25235
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C9H9NO3/c1-6(11)10-8-4-2-7(3-5-8)9(12)13/h2-5H,1H3,(H,10,11)(H,12,13)"
Standard Inchi Key(RDKit),QCXJEYYXVJIFCE-UHFFFAOYSA-N
Canonical SMILES(RDKit),CC(=O)Nc1ccc(C(=O)O)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),179.175
MW Monoisotopic(RDKit),179.058243148
MolLogP(RDKit),1.3432
XLogP(SDF),
XLogP(CDK),0.891
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),66.4
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),1
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),13
QED Weighted(RDKit),0.719502736493557
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,BAZ2B/H4
Common Target Pref Name,BAZ2B/H4
RDKit Descriptors
Ipc,724.9704113311476
qed,0.7195027364935574
Chi0,9.844934982691242
Chi1,6.092224152875016
TPSA,66.4
Chi0n,7.073111253186188
Chi0v,7.073111253186188
Chi1n,3.703222293259761
Chi1v,3.703222293259761
Chi2n,2.5636890514460067
Chi2v,2.5636890514460067
Chi3n,1.4522193581364788
Chi3v,1.4522193581364788
Chi4n,0.8994013142312423
Chi4v,0.8994013142312423
MolMR,47.70500000000001
MolWt,179.17499999999998
fr_SH,0
Kappa1,9.249605734767023
Kappa2,3.7092512583454584
Kappa3,2.59054602489952
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,0
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,329.21798022455295
MolLogP,1.3432
NOCount,4
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,2.809454194164694
SMR_VSA1,14.69560176298435
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,6.923737199690624
