DLiP-ID,C003OE
DLiP-Mol-ID,34268
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H24N2O3S/c1-2-24-12-7-11-20-19(23)18(15-8-4-3-5-9-15)21-17(22)14-16-10-6-13-25-16/h3-6,8-10,13,18H,2,7,11-12,14H2,1H3,(H,20,23)(H,21,22)"
Standard Inchi Key(RDKit),FTYXUFZPUFESJZ-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCOCCCNC(=O)C(NC(=O)Cc1cccs1)c1ccccc1
SMILES(SDF),
MW(SDF),
MW(RDKit),360.479
MW Monoisotopic(RDKit),360.150763628
MolLogP(RDKit),2.6909
XLogP(SDF),
XLogP(CDK),1.639
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),67.43
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),10
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),25
QED Weighted(RDKit),0.640317464729547
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
Common Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
RDKit Descriptors
Ipc,579201.3971840082
qed,0.6403174647295466
Chi0,17.90756662611944
Chi1,12.202708600407234
TPSA,67.43
Chi0n,14.364679490494826
Chi0v,15.181176071422552
Chi1n,8.425242725816181
Chi1v,9.30489553707108
Chi2n,5.508854676088299
Chi2v,6.541099858450052
Chi3n,3.5841156199621373
Chi3v,4.460502984653752
Chi4n,2.3613911327390618
Chi4v,3.0648809603441074
MolMR,99.46840000000003
MolWt,360.47900000000004
fr_SH,0
Kappa1,19.14880243020527
Kappa2,10.636553242999243
Kappa3,6.680529460379632
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,0
fr_NH1,2
fr_NH2,0
