DLiP-ID,C100JW
DLiP-Mol-ID,36325
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H18N4O3S2/c1-3-25-18(24)15-10(2)20-17(27-9-11-7-14(23)22-21-11)12(8-19)16(15)13-5-4-6-26-13/h4-7,15-16H,3,9H2,1-2H3,(H2,21,22,23)"
Standard Inchi Key(RDKit),ZTARWFDZIIJOSM-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCOC(=O)C1C(C)=NC(SCc2cc(O)n[nH]2)=C(C#N)C1c1cccs1
SMILES(SDF),
MW(SDF),
MW(RDKit),402.501
MW Monoisotopic(RDKit),402.082032436
MolLogP(RDKit),3.58278
XLogP(SDF),
XLogP(CDK),1.627
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),8
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),111.36
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),27
QED Weighted(RDKit),0.714473613054862
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Annexin A2/S100-A10
Common Target Pref Name,Annexin A2/S100-A10
RDKit Descriptors
Ipc,1694455.6441454964
qed,0.7144736130548616
Chi0,19.38854057813175
Chi1,13.045243855508332
TPSA,111.35999999999999
Chi0n,14.800162721366137
Chi0v,16.433155883221588
Chi1n,8.302576010956255
Chi1v,10.16782738186464
Chi2n,5.846682345213969
Chi2v,7.790003253633036
Chi3n,4.0952014502755825
Chi3v,6.090580347340504
Chi4n,2.941175012563749
Chi4v,4.789879961061411
MolMR,104.47850000000001
MolWt,402.5010000000001
fr_SH,0
Kappa1,19.19878379614539
Kappa2,8.413780570646113
Kappa3,4.068024708011572
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,3
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,924.8085440579779
MolLogP,3.5827800000000023
NOCount,7
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.971766800104306
SMR_VSA1,14.637927532712576
SMR_VSA2,5.261891554738487
SMR_VSA3,10.197363616602075
SMR_VSA4,10.910310778797061
SMR_VSA5,25.51823405228943
SMR_VSA6,6.606881964512918
SMR_VSA7,44.75241499134638
SMR_VSA8,0.0
SMR_VSA9,11.949209649227644
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,1
fr_HOCCN,0
fr_Imine,1
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,1
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,164.32536491342796
NHOHCount,2
PEOE_VSA1,9.843390348640755
PEOE_VSA2,9.893218992372859
PEOE_VSA3,4.992404732635669
PEOE_VSA4,5.261891554738487
PEOE_VSA5,16.435467686235775
PEOE_VSA6,17.828252017852726
PEOE_VSA7,25.293904238308773
PEOE_VSA8,34.019886912690254
PEOE_VSA9,18.249207807374457
RingCount,3
SMR_VSA10,34.7796611180484
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,402.082032436
NumHDonors,2
PEOE_VSA10,10.946977343038007
PEOE_VSA11,0.0
PEOE_VSA12,5.879988336435371
PEOE_VSA13,0.0
PEOE_VSA14,5.969305287951849
SlogP_VSA1,0.0
SlogP_VSA2,33.59176326667825
SlogP_VSA3,15.28425374461866
SlogP_VSA4,17.249018913692154
SlogP_VSA5,30.336455634092403
SlogP_VSA6,39.17374453543229
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,0
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,1
fr_nitroso,0
fr_oxazole,0
fr_sulfide,1
fr_sulfone,0
EState_VSA1,11.835812092322787
EState_VSA2,18.456175588900138
EState_VSA3,22.06671443646337
EState_VSA4,10.57107518854976
