DLiP-ID,C000UN
DLiP-Mol-ID,31403
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H26N2O4/c1-7-15-13(2)23-24-22(14-8-9-18(25-3)19(10-14)26-4)17-12-21(28-6)20(27-5)11-16(15)17/h8-12,15H,7H2,1-6H3"
Standard Inchi Key(RDKit),RUJBDQSFYCKFAA-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCC1C(C)=NN=C(c2ccc(OC)c(OC)c2)c2cc(OC)c(OC)cc21
SMILES(SDF),
MW(SDF),
MW(RDKit),382.46
MW Monoisotopic(RDKit),382.189257312
MolLogP(RDKit),4.4415
XLogP(SDF),
XLogP(CDK),4.743
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),61.64
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),28
QED Weighted(RDKit),0.740889808447194
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,2255014.7468802105
qed,0.740889808447194
Chi0,20.25878406613483
Chi1,13.569941865413647
TPSA,61.640000000000015
Chi0n,17.198628749179672
Chi0v,17.198628749179672
Chi1n,9.18214308921501
Chi1v,9.18214308921501
Chi2n,6.515026756909058
Chi2v,6.515026756909058
Chi3n,5.063504962483843
Chi3v,5.063504962483843
Chi4n,3.577640540763175
Chi4v,3.577640540763175
MolMR,110.87200000000006
MolWt,382.4600000000002
fr_SH,0
Kappa1,19.73362635804684
Kappa2,8.334231465742258
Kappa3,3.4194834861665333
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,934.3742633322362
MolLogP,4.441500000000004
NOCount,6
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.2568427975597807
SMR_VSA1,18.947451815200196
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,10.202815051479446
