DLiP-ID,C001PP
DLiP-Mol-ID,32726
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C14H11NO3S2/c16-12(17)9-15-13(18)11(20-14(15)19)8-4-7-10-5-2-1-3-6-10/h1-8H,9H2,(H,16,17)/b7-4+,11-8-"
Standard Inchi Key(RDKit),GCLNYGZZHZVKTK-KXBBGWRGSA-N
Canonical SMILES(RDKit),O=C(O)CN1C(=O)/C(=C/C=C/c2ccccc2)SC1=S
SMILES(SDF),
MW(SDF),
MW(RDKit),305.38
MW Monoisotopic(RDKit),305.018035212
MolLogP(RDKit),2.5286
XLogP(SDF),
XLogP(CDK),1.729
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),57.61
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),20
QED Weighted(RDKit),0.684080380997432
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,36206.44139446282
qed,0.6840803809974318
Chi0,14.535169427003234
Chi1,9.57538740046941
TPSA,57.61
Chi0n,10.353329287558925
Chi0v,11.986322449414377
Chi1n,5.765922814398959
Chi1v,6.990667685790548
Chi2n,3.953723543013736
Chi2v,5.629489132209891
Chi3n,2.502812432334533
