DLiP-ID,T007QI
DLiP-Mol-ID,25973
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H20N4O4/c1-24(2)20(27)28-14-9-7-13(8-10-14)11-17(19(25)26)23-18-15-5-3-4-6-16(15)21-12-22-18/h3-10,12,17H,11H2,1-2H3,(H,25,26)(H,21,22,23)/t17-/m0/s1"
Standard Inchi Key(RDKit),YOKWHEFGCRDLLI-KRWDZBQOSA-N
Canonical SMILES(RDKit),CN(C)C(=O)Oc1ccc(C[C@H](Nc2ncnc3ccccc23)C(=O)O)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),380.404
MW Monoisotopic(RDKit),380.14845512
MolLogP(RDKit),2.798
XLogP(SDF),
XLogP(CDK),0.212000000000001
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),104.65
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),28
QED Weighted(RDKit),0.677377575005808
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,1967812.2853760219
qed,0.6773775750058076
Chi0,20.0956473593183
Chi1,13.435560745775549
TPSA,104.64999999999999
Chi0n,15.494208726474232
Chi0v,15.494208726474232
Chi1n,8.609618166904188
Chi1v,8.609618166904188
Chi2n,6.385057371692062
Chi2v,6.385057371692062
Chi3n,4.085358431635908
Chi3v,4.085358431635908
Chi4n,2.606323712615101
Chi4v,2.606323712615101
MolMR,104.44150000000005
MolWt,380.40400000000005
fr_SH,0
Kappa1,19.091888655869777
Kappa2,8.341298373672728
Kappa3,4.530844100953991
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,3
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,983.6720624790811
MolLogP,2.798000000000001
NOCount,8
fr_Ar_N,2
fr_COO2,1
fr_urea,0
BalabanJ,1.744412473301665
SMR_VSA1,19.432464716784395
SMR_VSA2,0.0
SMR_VSA3,14.867866772744893
SMR_VSA4,0.0
SMR_VSA5,12.462662452073971
SMR_VSA6,19.41213256936071
SMR_VSA7,60.42170811415441
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,161.3396295411707
NHOHCount,2
PEOE_VSA1,20.06008868349756
PEOE_VSA2,0.0
PEOE_VSA3,19.55703141003806
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,24.26546827384644
PEOE_VSA7,29.828919765543436
PEOE_VSA8,25.902389802745184
PEOE_VSA9,5.516700717616262
RingCount,3
SMR_VSA10,28.78333306880635
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,380.14845511999994
NumHDonors,2
PEOE_VSA10,23.936535515031437
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,12.062545358890265
SlogP_VSA1,10.05365155780638
SlogP_VSA2,52.17412432097821
SlogP_VSA3,11.21535880699783
SlogP_VSA4,0.0
SlogP_VSA5,5.563451491696996
SlogP_VSA6,54.85825662245742
SlogP_VSA7,0.0
SlogP_VSA8,10.902924932081056
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,18.104386188038227
EState_VSA2,6.4208216229260096
EState_VSA3,11.567374611118932
EState_VSA4,16.466376423778055
EState_VSA5,11.22722980561502
EState_VSA6,38.36081223920082
EState_VSA7,24.26546827384644
EState_VSA8,15.284745645900749
EState_VSA9,4.736862953800049
SlogP_VSA10,10.61239996190685
SlogP_VSA11,5.749511833283905
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
