DLiP-ID,T003IT
DLiP-Mol-ID,20339
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H22ClNO3/c1-11(2)14-9-13(8-12(3)16(14)17)21-10-15(19)18-4-6-20-7-5-18/h8-9,11H,4-7,10H2,1-3H3"
Standard Inchi Key(RDKit),LLOCGZTZARPYAX-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1cc(OCC(=O)N2CCOCC2)cc(C(C)C)c1Cl
SMILES(SDF),
MW(SDF),
MW(RDKit),311.809
MW Monoisotopic(RDKit),311.128821244
MolLogP(RDKit),3.00942
XLogP(SDF),
XLogP(CDK),2.893
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),38.77
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),21
QED Weighted(RDKit),0.857753985237517
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,FKBP1A/FK506
Common Target Pref Name,FKBP1A/FK506
RDKit Descriptors
Ipc,50656.72981613012
qed,0.8577539852375173
Chi0,15.405412915006313
Chi1,9.986071002992368
TPSA,38.769999999999996
Chi0n,12.81750765340239
Chi0v,13.573436599420846
Chi1n,7.270947862483162
Chi1v,7.64891233549239
Chi2n,5.579915612475297
Chi2v,5.957880085484524
Chi3n,3.6042964842674117
Chi3v,4.120605556126015
Chi4n,2.3152688461896798
Chi4v,2.6425956815436686
MolMR,83.17200000000005
MolWt,311.80899999999997
fr_SH,0
Kappa1,16.116428928116772
Kappa2,7.14008348793614
Kappa3,4.111226438285085
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,510.4887072209368
MolLogP,3.0094200000000013
NOCount,4
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.0074969268273617
SMR_VSA1,14.268263091671919
SMR_VSA2,0.0
SMR_VSA3,4.899909730850478
SMR_VSA4,0.0
SMR_VSA5,26.689117645233264
SMR_VSA6,32.910158705363905
SMR_VSA7,28.28227043405854
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,2
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,130.5267055660764
NHOHCount,0
PEOE_VSA1,14.373635638450576
PEOE_VSA2,4.794537184071822
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,25.448414289613766
PEOE_VSA7,36.10128036616923
