DLiP-ID,C002JU
DLiP-Mol-ID,31592
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C11H9NO3/c13-10(11(14)15)5-7-6-12-9-4-2-1-3-8(7)9/h1-4,6,12H,5H2,(H,14,15)"
Standard Inchi Key(RDKit),RSTKLPZEZYGQPY-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(O)C(=O)Cc1c[nH]c2ccccc12
SMILES(SDF),
MW(SDF),
MW(RDKit),203.197
MW Monoisotopic(RDKit),203.058243148
MolLogP(RDKit),1.3641
XLogP(SDF),
XLogP(CDK),1.211
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),70.16
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),15
QED Weighted(RDKit),0.739797688103987
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Importin subunit beta-1/Snurportin-1
Common Target Pref Name,Importin subunit beta-1/Snurportin-1
RDKit Descriptors
Ipc,3732.5356121995837
qed,0.7397976881039867
Chi0,10.836498814253964
Chi1,7.1815405503520555
TPSA,70.16
Chi0n,7.8575683035623625
Chi0v,7.8575683035623625
Chi1n,4.493662407779642
Chi1v,4.493662407779642
Chi2n,3.264602919318627
Chi2v,3.264602919318627
Chi3n,2.2644632187864384
Chi3v,2.2644632187864384
Chi4n,1.5264604388713656
Chi4v,1.5264604388713656
MolMR,54.64550000000002
MolWt,203.197
fr_SH,0
Kappa1,9.45483670617463
Kappa2,3.570210348223531
Kappa3,1.7386726494834603
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,0
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,527.3674851781891
MolLogP,1.3641
NOCount,4
fr_Ar_N,1
fr_COO2,1
fr_urea,0
BalabanJ,2.3658884410641012
SMR_VSA1,14.69560176298435
SMR_VSA2,0.0
SMR_VSA3,4.9839785209472085
SMR_VSA4,0.0
SMR_VSA5,6.4208216229260096
SMR_VSA6,0.0
SMR_VSA7,36.02576333715651
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,85.53433236771986
NHOHCount,2
PEOE_VSA1,10.090505915787915
PEOE_VSA2,4.794537184071822
PEOE_VSA3,4.794537184071822
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,18.19910120538483
PEOE_VSA7,11.629818560158606
PEOE_VSA8,23.520590126620142
PEOE_VSA9,0.0
RingCount,2
SMR_VSA10,22.65547516639785
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,1
fr_lactam,0
fr_phenol,0
ExactMolWt,203.058243148
NumHDonors,2
PEOE_VSA10,0.0
PEOE_VSA11,0.0
PEOE_VSA12,5.783244946364939
