DLiP-ID,T001OQ
DLiP-Mol-ID,17504
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H13NO3S/c18-21(19,20)15-11-5-7-12-6-4-10-14(16(12)15)17-13-8-2-1-3-9-13/h1-11,17H,(H,18,19,20)"
Standard Inchi Key(RDKit),FWEOQOXTVHGIFQ-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=S(=O)(O)c1cccc2cccc(Nc3ccccc3)c12
SMILES(SDF),
MW(SDF),
MW(RDKit),299.351
MW Monoisotopic(RDKit),299.061614276
MolLogP(RDKit),3.8301
XLogP(SDF),
XLogP(CDK),3.094
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),66.4
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),21
QED Weighted(RDKit),0.72129111313307
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Transthyretin tetramer
Common Target Pref Name,Transthyretin tetramer
RDKit Descriptors
Ipc,68767.34629778891
qed,0.7212911131330703
Chi0,14.872032720186706
Chi1,10.054661458305718
TPSA,66.4
Chi0n,11.022811427977434
Chi0v,11.83930800890516
Chi1n,6.368749138635865
Chi1v,7.808812467436504
Chi2n,4.625926295706437
Chi2v,6.015885380990199
Chi3n,3.1971726310271196
Chi3v,4.093192644400021
Chi4n,2.3026781775567726
Chi4v,3.038976261933555
MolMR,83.48730000000005
MolWt,299.35100000000006
fr_SH,0
Kappa1,13.60564150490758
Kappa2,5.196881536274529
Kappa3,2.7423452113732583
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,0
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,884.5489689025094
MolLogP,3.8301000000000016
NOCount,4
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.236542485621285
SMR_VSA1,12.9705468580193
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,4.895483475517775
SMR_VSA6,5.316788604006331
SMR_VSA7,66.73003775307771
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
