DLiP-ID,C000A1
DLiP-Mol-ID,30512
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H18N2O4/c21-15(19-24)10-2-1-3-11-20-17(22)13-8-4-6-12-7-5-9-14(16(12)13)18(20)23/h4-9,24H,1-3,10-11H2,(H,19,21)"
Standard Inchi Key(RDKit),JTDYUFSDZATMKU-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(CCCCCN1C(=O)c2cccc3cccc(c23)C1=O)NO
SMILES(SDF),
MW(SDF),
MW(RDKit),326.352
MW Monoisotopic(RDKit),326.126657056
MolLogP(RDKit),2.5016
XLogP(SDF),
XLogP(CDK),2.366
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),86.71
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),24
QED Weighted(RDKit),0.369475943374858
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,329756.64267098246
qed,0.36947594337485784
Chi0,17.10408352775558
Chi1,11.630228955335802
TPSA,86.71000000000001
Chi0n,13.118807583462
Chi0v,13.118807583462
Chi1n,7.941007857268429
Chi1v,7.941007857268429
Chi2n,5.816841913901117
Chi2v,5.816841913901117
Chi3n,4.266080341250036
Chi3v,4.266080341250036
Chi4n,3.0716993682172284
Chi4v,3.0716993682172284
MolMR,87.71220000000005
MolWt,326.3520000000001
fr_SH,0
Kappa1,16.13920807271896
Kappa2,6.80004170502855
Kappa3,2.878641650043283
fr_ArN,0
fr_COO,0
fr_C_O,3
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,1
fr_azo,0
BertzCT,765.020973154575
MolLogP,2.5016
NOCount,6
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.7202793260019844
SMR_VSA1,19.590864576992757
SMR_VSA2,0.0
SMR_VSA3,10.38000632897168
SMR_VSA4,0.0
SMR_VSA5,25.683286491704038
SMR_VSA6,6.544756405912575
SMR_VSA7,47.52510539416365
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,3
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,1
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,138.56930781849252
NHOHCount,2
PEOE_VSA1,0.0
PEOE_VSA2,24.490774307843232
PEOE_VSA3,5.480096598121202
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,30.686289896772447
PEOE_VSA7,30.360601597240034
PEOE_VSA8,29.47870522669737
PEOE_VSA9,0.0
RingCount,3
SMR_VSA10,28.493987616984107
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
