DLiP-ID,P000IH
DLiP-Mol-ID,26322
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C26H24N2O5/c1-5-31-23-9-8-18(16(3)29)14-22(23)19-11-20(25-15(2)28-33-17(25)4)13-21(12-19)27-26(30)24-7-6-10-32-24/h6-14H,5H2,1-4H3,(H,27,30)"
Standard Inchi Key(RDKit),WQLADCZJBORKGE-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCOc1ccc(C(C)=O)cc1-c1cc(NC(=O)c2ccco2)cc(-c2c(C)noc2C)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),444.487
MW Monoisotopic(RDKit),444.168521868
MolLogP(RDKit),6.07204
XLogP(SDF),
XLogP(CDK),4.845
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),94.57
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),33
QED Weighted(RDKit),0.347614420447381
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,CREBBP/H4
Common Target Pref Name,CREBBP/H4
RDKit Descriptors
Ipc,34968688.11846554
qed,0.3476144204473811
Chi0,23.534804948073724
Chi1,15.867412398353686
TPSA,94.57
Chi0n,18.891714251712454
Chi0v,18.891714251712454
Chi1n,10.583712366464509
Chi1v,10.583712366464509
Chi2n,7.629771797748176
Chi2v,7.629771797748176
Chi3n,5.254829309491218
Chi3v,5.254829309491218
Chi4n,3.751107642204146
Chi4v,3.751107642204146
MolMR,124.68370000000002
MolWt,444.4870000000002
fr_SH,0
Kappa1,22.077840646161274
Kappa2,9.159724143365281
Kappa3,4.572313434191385
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1299.2132165153312
MolLogP,6.072040000000005
NOCount,7
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.8904055639914228
