DLiP-ID,T004MN
DLiP-Mol-ID,19835
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H19N5O4/c26-18(27)8-16-20(29)21-9-12-7-11(5-6-13(12)23-16)19(28)22-10-17-24-14-3-1-2-4-15(14)25-17/h1-7,16,23H,8-10H2,(H,21,29)(H,22,28)(H,24,25)(H,26,27)/t16-/m0/s1"
Standard Inchi Key(RDKit),OORKISXHRJDTFL-INIZCTEOSA-N
Canonical SMILES(RDKit),O=C(O)C[C@@H]1Nc2ccc(C(=O)NCc3nc4ccccc4[nH]3)cc2CNC1=O
SMILES(SDF),
MW(SDF),
MW(RDKit),393.403
MW Monoisotopic(RDKit),393.143704088
MolLogP(RDKit),1.3779
XLogP(SDF),
XLogP(CDK),1.449
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),5
HBD Lipinski(RDKit),5
PSA(SDF),
PSA(RDKit),136.21
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),29
QED Weighted(RDKit),0.444225546362981
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,4709814.8448422
qed,0.4442255463629812
Chi0,20.38010440969447
Chi1,13.991203638441375
TPSA,136.21
Chi0n,15.359294559468157
Chi0v,15.359294559468157
Chi1n,9.1019424824678
Chi1v,9.1019424824678
Chi2n,6.767840488845485
Chi2v,6.767840488845485
Chi3n,4.700279510385787
Chi3v,4.700279510385787
Chi4n,3.254589495552465
Chi4v,3.254589495552465
MolMR,105.21610000000004
MolWt,393.4030000000001
fr_SH,0
Kappa1,18.481772043811425
Kappa2,7.625121197898531
Kappa3,4.029321979734614
fr_ArN,0
fr_COO,1
fr_C_O,3
fr_C_S,0
fr_NH0,1
fr_NH1,4
fr_NH2,0
