DLiP-ID,T000ZR
DLiP-Mol-ID,16797
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H26N4O3S/c1-26-13-15-27(16-14-26)23(28)20(17-18-7-3-2-4-8-18)25-31(29,30)21-11-5-9-19-10-6-12-24-22(19)21/h2-12,20,25H,13-17H2,1H3"
Standard Inchi Key(RDKit),CVUNJDXMOQAKEU-UHFFFAOYSA-N
Canonical SMILES(RDKit),CN1CCN(C(=O)C(Cc2ccccc2)NS(=O)(=O)c2cccc3cccnc23)CC1
SMILES(SDF),
MW(SDF),
MW(RDKit),438.553
MW Monoisotopic(RDKit),438.172561692
MolLogP(RDKit),1.8984
XLogP(SDF),
XLogP(CDK),1.902
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),82.61
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),31
QED Weighted(RDKit),0.635696418893952
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,11635941.912871528
qed,0.6356964188939522
Chi0,21.846724214874857
Chi1,14.937490172930895
TPSA,82.61
Chi0n,17.438371084563578
Chi0v,18.2548676654913
Chi1n,10.312437203731049
Chi1v,11.795600451325443
Chi2n,7.823428425032883
Chi2v,9.505830666442398
Chi3n,5.578318873282728
Chi3v,7.081599778306499
Chi4n,3.8202388389373745
Chi4v,5.188742162204841
MolMR,120.07550000000006
MolWt,438.5530000000003
fr_SH,0
Kappa1,21.42312103901241
Kappa2,9.132622825187806
Kappa3,4.924576208904116
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,3
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1154.4198449425796
MolLogP,1.8983999999999994
NOCount,7
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.6480824389225546
SMR_VSA1,13.212334168400758
SMR_VSA2,0.0
SMR_VSA3,19.505892847100252
SMR_VSA4,0.0
SMR_VSA5,17.358145927591746
SMR_VSA6,33.22669760632749
SMR_VSA7,72.42396574792618
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,182.29534311635996
NHOHCount,1
PEOE_VSA1,9.799819461700956
PEOE_VSA2,9.77851570501903
PEOE_VSA3,8.417796984328938
PEOE_VSA4,4.722094864452088
PEOE_VSA5,0.0
PEOE_VSA6,48.53093654769288
PEOE_VSA7,31.164679234223414
PEOE_VSA8,37.76209340972817
PEOE_VSA9,5.516700717616262
RingCount,4
SMR_VSA10,26.833395814840145
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,438.172561692
NumHDonors,1
PEOE_VSA10,10.937324304665736
PEOE_VSA11,0.0
PEOE_VSA12,15.930470882759089
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,4.722094864452088
SlogP_VSA2,68.37731313180406
SlogP_VSA3,21.238649960405414
SlogP_VSA4,0.0
SlogP_VSA5,5.563451491696996
SlogP_VSA6,71.75599773174694
SlogP_VSA7,0.0
SlogP_VSA8,10.902924932081056
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,2
fr_epoxide,0
