DLiP-ID,I001ID
DLiP-Mol-ID,30011
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H16N4OS/c1-11-12(2)25-19-17(11)18(20-10-21-19)23-22-9-15-14-6-4-3-5-13(14)7-8-16(15)24/h3-10,24H,1-2H3,(H,20,21,23)"
Standard Inchi Key(RDKit),ZHLIBGVCPIYWGR-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1sc2ncnc(NN=Cc3c(O)ccc4ccccc34)c2c1C
SMILES(SDF),
MW(SDF),
MW(RDKit),348.431
MW Monoisotopic(RDKit),348.104482132
MolLogP(RDKit),4.61294
XLogP(SDF),
XLogP(CDK),4.532
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),70.4
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),25
QED Weighted(RDKit),0.418781271414323
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,LEDGF_IN
Common Target Pref Name,LEDGF/IN
RDKit Descriptors
Ipc,808484.688085116
qed,0.41878127141432264
Chi0,17.388540578131757
Chi1,12.147867045540846
TPSA,70.4
Chi0n,13.815904825980704
Chi0v,14.63240140690843
Chi1n,7.853981157012661
Chi1v,8.670477737940386
Chi2n,5.775178212453063
Chi2v,6.978373124447776
Chi3n,4.277129672255005
Chi3v,5.392384674055168
Chi4n,2.844910611430447
Chi4v,3.8417643853258356
MolMR,103.71850000000002
MolWt,348.4310000000001
fr_SH,0
Kappa1,15.532621659053293
Kappa2,6.1416075217481065
Kappa3,2.70193363515606
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,3
