DLiP-ID,C003CR
DLiP-Mol-ID,33849
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H14ClN3O4/c22-14-5-2-7-17(11-14)25-19(26)18(23-21(25)29)12-16-8-3-9-24(16)15-6-1-4-13(10-15)20(27)28/h1-12H,(H,23,29)(H,27,28)/b18-12+"
Standard Inchi Key(RDKit),SKNKQCUDNWAXHL-LDADJPATSA-N
Canonical SMILES(RDKit),O=C(O)c1cccc(-n2cccc2/C=C2/NC(=O)N(c3cccc(Cl)c3)C2=O)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),407.813
MW Monoisotopic(RDKit),407.067283608
MolLogP(RDKit),3.9262
XLogP(SDF),
XLogP(CDK),4.132
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),91.64
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),29
QED Weighted(RDKit),0.506085203610553
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
Common Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
RDKit Descriptors
Ipc,5152291.3534659315
qed,0.5060852036105532
Chi0,20.543241116511005
Chi1,13.935560745775547
TPSA,91.63999999999999
Chi0n,14.872553361176204
Chi0v,15.628482307194659
Chi1n,8.576620828990386
Chi1v,8.954585301999613
Chi2n,6.267135843388168
Chi2v,6.703571623860153
Chi3n,4.3883800889580735
Chi3v,4.623477191745812
Chi4n,3.0683112621239603
Chi4v,3.2528396413515894
MolMR,108.17500000000001
MolWt,407.81300000000016
fr_SH,0
Kappa1,18.51992381198347
Kappa2,7.290760561554609
Kappa3,3.5074189684955788
fr_ArN,0
fr_COO,1
fr_C_O,3
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1181.9291361275916
MolLogP,3.9262000000000024
NOCount,7
fr_Ar_N,1
fr_COO2,1
fr_urea,1
BalabanJ,1.6907715170500717
SMR_VSA1,19.49013894705617
SMR_VSA2,0.0
SMR_VSA3,9.883888251797686
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,4.899909730850478
SMR_VSA7,88.8375663695718
SMR_VSA8,0.0
SMR_VSA9,5.687386274683562
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,3
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,1
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,169.9857619585246
NHOHCount,2
PEOE_VSA1,14.99041564663839
PEOE_VSA2,4.794537184071822
PEOE_VSA3,14.488984098994122
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,23.733674027155736
PEOE_VSA7,54.60695665452676
PEOE_VSA8,22.600791154886426
PEOE_VSA9,11.250837766380558
RingCount,4
SMR_VSA10,41.27194580139138
fr_Al_COO,0
fr_Ar_COO,1
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,407.06728360799997
NumHDonors,2
PEOE_VSA10,5.697039313055833
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,5.907179729351506
PEOE_VSA14,12.000419800289922
SlogP_VSA1,10.216698334856808
SlogP_VSA2,27.581226572273486
SlogP_VSA3,4.794537184071822
SlogP_VSA4,0.0
SlogP_VSA5,16.051916670617278
SlogP_VSA6,72.55755356928502
SlogP_VSA7,5.022633313741326
SlogP_VSA8,11.763406381517443
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,1
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
