DLiP-ID,T004ZN
DLiP-Mol-ID,21709
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C26H31N5O4/c1-29-25(35)31(21-9-7-19(8-10-21)24(27)28)17-26(29)11-13-30(14-12-26)22(32)15-20(16-23(33)34)18-5-3-2-4-6-18/h2-10,20H,11-17H2,1H3,(H3,27,28)(H,33,34)"
Standard Inchi Key(RDKit),PRJKTPNKCLQMDH-UHFFFAOYSA-N
Canonical SMILES(RDKit),CN1C(=O)N(c2ccc(C(=N)N)cc2)CC12CCN(C(=O)CC(CC(=O)O)c1ccccc1)CC2
SMILES(SDF),
MW(SDF),
MW(RDKit),477.565
MW Monoisotopic(RDKit),477.237604472
MolLogP(RDKit),2.85227
XLogP(SDF),
XLogP(CDK),1.887
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),131.03
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),35
QED Weighted(RDKit),0.416874066731198
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,68690710.00132845
qed,0.4168740667311985
Chi0,25.164561460070637
Chi1,16.698014966732238
TPSA,131.02999999999997
Chi0n,19.81419968278314
Chi0v,19.81419968278314
Chi1n,11.743574726398741
Chi1v,11.743574726398741
Chi2n,9.403007599831271
Chi2v,9.403007599831271
Chi3n,7.331639322379447
Chi3v,7.331639322379447
Chi4n,5.124249863402296
Chi4v,5.124249863402296
MolMR,132.56089999999998
MolWt,477.5650000000003
fr_SH,0
Kappa1,24.25110200670965
Kappa2,9.77363280360305
Kappa3,4.985148976015946
fr_ArN,1
fr_COO,1
fr_C_O,3
fr_C_S,0
fr_NH0,3
fr_NH1,1
fr_NH2,1
fr_N_O,0
fr_azo,0
