DLiP-ID,I000GE
DLiP-Mol-ID,28360
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H11ClO3/c16-13-4-2-1-3-10(13)5-8-14(18)12-7-6-11(17)9-15(12)19/h1-9,17,19H"
Standard Inchi Key(RDKit),HUJPOSGMEWSBGX-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(C=Cc1ccccc1Cl)c1ccc(O)cc1O
SMILES(SDF),
MW(SDF),
MW(RDKit),274.703
MW Monoisotopic(RDKit),274.039671892
MolLogP(RDKit),3.6473
XLogP(SDF),
XLogP(CDK),4.087
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),57.53
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),19
QED Weighted(RDKit),0.663427888289501
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,LEDGF_IN
Common Target Pref Name,LEDGF/IN
RDKit Descriptors
Ipc,19667.755370575032
qed,0.6634278882895008
Chi0,13.828062645816686
Chi1,9.075387400469408
TPSA,57.53
Chi0n,9.87679237717964
Chi0v,10.632721323198094
Chi1n,5.566387720661674
Chi1v,5.944352193670902
Chi2n,3.9205490508520944
Chi2v,4.3277491775927
Chi3n,2.5662634928168084
Chi3v,2.9104695407225436
Chi4n,1.5939005160711301
Chi4v,1.7926279704862036
MolMR,74.58810000000003
MolWt,274.70300000000003
fr_SH,0
Kappa1,13.1782480753563
Kappa2,5.587278307167379
Kappa3,3.1446366168875413
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,647.5889883747349
MolLogP,3.6473000000000018
NOCount,3
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.2406600857381807
SMR_VSA1,15.007591973753234
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,0.0
SMR_VSA7,64.69012588320047
SMR_VSA8,0.0
SMR_VSA9,11.49902366656781
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,2
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,114.94697646788404
NHOHCount,2
PEOE_VSA1,10.213054789681411
PEOE_VSA2,4.794537184071822
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,29.800041095617345
PEOE_VSA7,35.91459291074959
PEOE_VSA8,11.089000382202936
PEOE_VSA9,5.563451491696996
RingCount,2
SMR_VSA10,23.460204943431336
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,1
fr_lactam,0
fr_phenol,2
ExactMolWt,274.039671892
NumHDonors,2
PEOE_VSA10,11.49902366656781
PEOE_VSA11,5.783244946364939
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,0.0
SlogP_VSA2,15.996299736046351
SlogP_VSA3,0.0
SlogP_VSA4,0.0
