DLiP-ID,C001TA
DLiP-Mol-ID,32879
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H17N3O3S/c17-16(18)23-10-9-12-3-7-15(8-4-12)22-11-13-1-5-14(6-2-13)19(20)21/h1-8H,9-11H2,(H3,17,18)"
Standard Inchi Key(RDKit),UMJUNUMSJDTYTM-UHFFFAOYSA-N
Canonical SMILES(RDKit),N=C(N)SCCc1ccc(OCc2ccc([N+](=O)[O-])cc2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),331.397
MW Monoisotopic(RDKit),331.099062404
MolLogP(RDKit),3.34297
XLogP(SDF),
XLogP(CDK),3.751
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),102.24
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),23
QED Weighted(RDKit),0.350456980438016
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,143230.29634727072
qed,0.3504569804380159
Chi0,16.656489770562878
Chi1,11.041713895658194
TPSA,102.24000000000001
Chi0n,12.397679523621688
Chi0v,13.214176104549415
Chi1n,6.962870054946777
Chi1v,7.948468614600265
Chi2n,4.818895133390732
Chi2v,5.955644964076855
Chi3n,3.124314199500517
Chi3v,3.843566723928453
Chi4n,1.9117399579373073
Chi4v,2.469417493762513
MolMR,91.9465
MolWt,331.39700000000005
fr_SH,0
Kappa1,16.824100965058644
Kappa2,8.187219571649178
Kappa3,5.630335621376174
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,671.9747453943688
MolLogP,3.342970000000002
NOCount,6
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.8328625774303382
SMR_VSA1,9.660174002617719
SMR_VSA2,5.409283605791522
SMR_VSA3,0.0
SMR_VSA4,5.733667477162185
SMR_VSA5,13.027703587438928
SMR_VSA6,5.752853606746789
SMR_VSA7,69.77215779985245
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
