DLiP-ID,C003AW
DLiP-Mol-ID,33782
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)/t9-/m1/s1"
Standard Inchi Key(RDKit),QIVBCDIJIAJPQS-SECBINFHSA-N
Canonical SMILES(RDKit),N[C@H](Cc1c[nH]c2ccccc12)C(=O)O
SMILES(SDF),
MW(SDF),
MW(RDKit),204.229
MW Monoisotopic(RDKit),204.089877624
MolLogP(RDKit),1.1223
XLogP(SDF),
XLogP(CDK),-1.271
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),79.11
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),15
QED Weighted(RDKit),0.700584099755737
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
Common Target Pref Name,Runt-related transcription factor 1/Core-binding factor subunit beta
RDKit Descriptors
Ipc,3732.5356121995837
qed,0.7005840997557369
Chi0,10.836498814253964
Chi1,7.1815405503520555
TPSA,79.11
Chi0n,8.10402055147775
Chi0v,8.10402055147775
Chi1n,4.716241630346446
Chi1v,4.716241630346446
Chi2n,3.5083522099184106
Chi2v,3.5083522099184106
Chi3n,2.4319435418190682
Chi3v,2.4319435418190682
Chi4n,1.6247309891125132
Chi4v,1.6247309891125132
MolMR,57.61390000000001
MolWt,204.22899999999998
fr_SH,0
Kappa1,9.733912004652456
Kappa2,3.744477633359755
Kappa3,1.8453598902256418
fr_ArN,0
fr_COO,1
fr_C_O,1
fr_C_S,0
fr_NH0,0
fr_NH1,1
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,490.0485079143074
MolLogP,1.1223000000000003
NOCount,4
fr_Ar_N,1
fr_COO2,1
fr_urea,0
BalabanJ,2.3234873713898962
SMR_VSA1,9.901064578912528
SMR_VSA2,0.0
SMR_VSA3,4.9839785209472085
SMR_VSA4,5.733667477162185
SMR_VSA5,12.462662452073971
SMR_VSA6,0.0
SMR_VSA7,36.02576333715651
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,86.71270096468879
NHOHCount,4
PEOE_VSA1,15.8241733929501
PEOE_VSA2,4.794537184071822
PEOE_VSA3,0.0
