DLiP-ID,C003WW
DLiP-Mol-ID,34574
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C24H26ClNO3/c1-17-18(2)24(20-8-10-21(25)11-9-20,29-16-23(15-27)12-13-23)26(22(17)28)14-19-6-4-3-5-7-19/h3-11,27H,12-16H2,1-2H3"
Standard Inchi Key(RDKit),SDGAWOVTSOHSGP-UHFFFAOYSA-N
Canonical SMILES(RDKit),CC1=C(C)C(OCC2(CO)CC2)(c2ccc(Cl)cc2)N(Cc2ccccc2)C1=O
SMILES(SDF),
MW(SDF),
MW(RDKit),411.929
MW Monoisotopic(RDKit),411.160121372
MolLogP(RDKit),4.6607
XLogP(SDF),
XLogP(CDK),3.897
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),49.77
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),29
QED Weighted(RDKit),0.720347993878869
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Tumour suppressor p53/oncoprotein Mdm2
Common Target Pref Name,P53/HDM2
RDKit Descriptors
Ipc,6376968.511544785
qed,0.7203479938788693
Chi0,20.648053602125593
Chi1,13.916286538406766
TPSA,49.77
Chi0n,16.820574573576245
Chi0v,17.5765035195947
Chi1n,9.965392549632169
Chi1v,10.343357022641397
Chi2n,8.224596250295695
Chi2v,8.661032030767682
Chi3n,6.315640687883936
Chi3v,6.567617003223421
Chi4n,4.011609652015224
Chi4v,4.137597809684966
MolMR,113.20080000000003
MolWt,411.92900000000014
fr_SH,0
Kappa1,20.145750111370365
Kappa2,7.599108901758115
