DLiP-ID,C001IM
DLiP-Mol-ID,32432
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H26N2O/c1-23-20-9-7-17(8-10-20)15-21-19-11-13-22(14-12-19)16-18-5-3-2-4-6-18/h2-10,19,21H,11-16H2,1H3"
Standard Inchi Key(RDKit),YIMSPZSPOCILQU-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1ccc(CNC2CCN(Cc3ccccc3)CC2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),310.441
MW Monoisotopic(RDKit),310.204513452
MolLogP(RDKit),3.4494
XLogP(SDF),
XLogP(CDK),3.555
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),24.5
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),23
QED Weighted(RDKit),0.884246416051029
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,273369.2300437033
qed,0.8842464160510294
Chi0,15.907566626119443
Chi1,11.330831138144493
TPSA,24.5
Chi0n,13.871605264979369
Chi0v,13.871605264979369
Chi1n,8.458938428617545
Chi1v,8.458938428617545
Chi2n,6.2649956622799845
Chi2v,6.2649956622799845
Chi3n,4.590498975350153
Chi3v,4.590498975350153
Chi4n,3.1423960170168908
Chi4v,3.1423960170168908
MolMR,94.57470000000006
MolWt,310.4410000000001
fr_SH,0
Kappa1,16.033177803430963
Kappa2,8.13614842854027
Kappa3,4.81471744679569
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,574.3504856935709
MolLogP,3.4494000000000025
NOCount,3
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.400949401294613
SMR_VSA1,4.736862953800049
SMR_VSA2,0.0
SMR_VSA3,10.216698334856808
SMR_VSA4,0.0
SMR_VSA5,31.97299688682513
SMR_VSA6,20.199310353102685
SMR_VSA7,65.72420659954848
