DLiP-ID,C001S1
DLiP-Mol-ID,32834
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C10H9NO2S2/c1-2-7-15(12,13)10-11-8-5-3-4-6-9(8)14-10/h2-6H,1,7H2"
Standard Inchi Key(RDKit),LLETVIRFTRIQGN-UHFFFAOYSA-N
Canonical SMILES(RDKit),C=CCS(=O)(=O)c1nc2ccccc2s1
SMILES(SDF),
MW(SDF),
MW(RDKit),239.321
MW Monoisotopic(RDKit),239.007470528
MolLogP(RDKit),2.256
XLogP(SDF),
XLogP(CDK),1.435
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),47.03
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),15
QED Weighted(RDKit),0.77176610084258
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,3451.166112861707
qed,0.7717661008425796
Chi0,10.88890505706126
Chi1,7.132158382491146
TPSA,47.03
Chi0n,7.881171665676636
Chi0v,9.514164827532088
Chi1n,4.325441349241252
Chi1v,6.794203156489132
Chi2n,3.0175873619745808
Chi2v,6.256182036711202
Chi3n,1.87758184070218
Chi3v,5.018351314359567
Chi4n,1.2105350941155943
Chi4v,3.5791582162035533
MolMR,61.869800000000026
MolWt,239.321
fr_SH,0
Kappa1,10.32227903579255
Kappa2,3.750256712397947
Kappa3,1.9318254748719013
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,565.6648433009115
MolLogP,2.2560000000000002
NOCount,3
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,2.5846834420310696
SMR_VSA1,8.417796984328938
SMR_VSA2,0.0
SMR_VSA3,4.9839785209472085
SMR_VSA4,0.0
SMR_VSA5,4.339655680673546
SMR_VSA6,5.752853606746789
SMR_VSA7,36.92042406427882
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,92.00370059538233
NHOHCount,0
PEOE_VSA1,0.0
PEOE_VSA2,0.0
PEOE_VSA3,13.401775505276145
PEOE_VSA4,0.0
PEOE_VSA5,17.915721561533235
PEOE_VSA6,18.208754243757102
PEOE_VSA7,12.13273413692322
PEOE_VSA8,0.0
PEOE_VSA9,15.96947424083215
RingCount,2
SMR_VSA10,31.3906596484376
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,239.007470528
NumHDonors,0
PEOE_VSA10,0.0
PEOE_VSA11,0.0
PEOE_VSA12,14.176908817091046
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,0.0
SlogP_VSA2,19.154629112022935
SlogP_VSA3,9.837253136417502
SlogP_VSA4,0.0
SlogP_VSA5,0.0
SlogP_VSA6,41.260079744952364
SlogP_VSA7,0.0
SlogP_VSA8,10.216620634085363
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,1
EState_VSA1,9.837253136417502
EState_VSA2,10.092509287420334
EState_VSA3,0.0
EState_VSA4,10.216620634085363
EState_VSA5,17.412805984768617
EState_VSA6,6.06636706846161
EState_VSA7,18.19910120538483
