DLiP-ID,C001XT
DLiP-Mol-ID,26876
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C14H9ClN4S2/c15-10-5-3-9(4-6-10)13-16-17-14-19(13)18-12(21-14)8-11-2-1-7-20-11/h1-7H,8H2"
Standard Inchi Key(RDKit),JSEHQJJIJOMWNN-UHFFFAOYSA-N
Canonical SMILES(RDKit),Clc1ccc(-c2nnc3sc(Cc4cccs4)nn23)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),332.841
MW Monoisotopic(RDKit),331.995715968
MolLogP(RDKit),4.1585
XLogP(SDF),
XLogP(CDK),4.567
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),43.08
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),21
QED Weighted(RDKit),0.565520953919831
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,157135.45791032538
qed,0.565520953919831
Chi0,14.233840039752504
Chi1,10.29282633568371
TPSA,43.08
Chi0n,10.731874101450716
Chi0v,13.120796209324624
Chi1n,6.288906708839765
Chi1v,8.363020574031614
Chi2n,4.476818211236138
Chi2v,6.986021011401784
Chi3n,3.0406934877664193
Chi3v,5.067829648340758
Chi4n,2.0691847125035516
Chi4v,3.8519572771000696
MolMR,86.23
MolWt,332.841
fr_SH,0
Kappa1,12.941516484654006
Kappa2,5.2156602158747365
Kappa3,2.4579137958660477
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,4
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,877.6401832310171
MolLogP,4.158500000000002
NOCount,4
fr_Ar_N,4
fr_COO2,0
fr_urea,0
BalabanJ,1.7360009427123362
SMR_VSA1,0.0
SMR_VSA2,0.0
SMR_VSA3,19.811443318518734
SMR_VSA4,0.0
SMR_VSA5,6.4208216229260096
SMR_VSA6,0.0
SMR_VSA7,56.68566938553096
SMR_VSA8,0.0
SMR_VSA9,11.387855989696924
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,133.20853788858767
NHOHCount,0
PEOE_VSA1,0.0
PEOE_VSA2,0.0
PEOE_VSA3,0.0
PEOE_VSA4,9.61407970191666
PEOE_VSA5,21.534149494536813
PEOE_VSA6,29.004092836628864
PEOE_VSA7,35.711898112773966
PEOE_VSA8,21.88405362206563
PEOE_VSA9,0.0
RingCount,4
SMR_VSA10,39.235384568874025
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,331.99571596800007
NumHDonors,0
PEOE_VSA10,5.007623696852765
PEOE_VSA11,5.824404497999927
PEOE_VSA12,4.960872922772032
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,0.0
SlogP_VSA2,19.811443318518734
SlogP_VSA3,6.4208216229260096
SlogP_VSA4,0.0
SlogP_VSA5,9.884770890554066
SlogP_VSA6,41.778265181235575
SlogP_VSA7,5.022633313741326
SlogP_VSA8,16.348728912468957
