DLiP-ID,I001BS
DLiP-Mol-ID,29718
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H22N4/c1-16-3-2-4-21-17(15-25-22(16)21)9-14-24-18-5-7-19(8-6-18)26-20-10-12-23-13-11-20/h2-8,10-13,15,24-25H,9,14H2,1H3,(H,23,26)"
Standard Inchi Key(RDKit),WQGRCOJNNSBDCR-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1cccc2c(CCNc3ccc(Nc4ccncc4)cc3)c[nH]c12
SMILES(SDF),
MW(SDF),
MW(RDKit),342.446
MW Monoisotopic(RDKit),342.184446704
MolLogP(RDKit),5.26952
XLogP(SDF),
XLogP(CDK),3.83
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),52.74
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.447304788121538
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,MDM2-Like_P53
Common Target Pref Name,P53/HDM2
RDKit Descriptors
Ipc,1721414.4925999606
qed,0.4473047881215378
Chi0,17.769373945685242
Chi1,12.79282633568371
TPSA,52.74
Chi0n,14.789630388148566
Chi0v,14.789630388148566
Chi1n,8.860255906629
Chi1v,8.860255906629
Chi2n,6.426400496552066
Chi2v,6.426400496552066
Chi3n,4.586839210093658
Chi3v,4.586839210093658
Chi4n,3.1856490380605926
Chi4v,3.1856490380605926
MolMR,109.19110000000002
MolWt,342.4460000000001
fr_SH,0
Kappa1,16.212101569272463
Kappa2,7.314628909375592
Kappa3,3.5421798146208703
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,3
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,987.7738944319176
MolLogP,5.2695200000000035
NOCount,4
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.3505535127815271
SMR_VSA1,0.0
SMR_VSA2,0.0
SMR_VSA3,9.967957041894417
SMR_VSA4,0.0
SMR_VSA5,13.344558822616634
SMR_VSA6,17.178333613925236
SMR_VSA7,84.31473731438773
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,152.85061517572692
NHOHCount,3
PEOE_VSA1,15.617555728959871
PEOE_VSA2,4.9839785209472085
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,18.19910120538483
PEOE_VSA7,60.86966421678028
PEOE_VSA8,53.100370876883545
PEOE_VSA9,0.0
RingCount,4
SMR_VSA10,27.96508375613174
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,342.18444670400004
NumHDonors,3
PEOE_VSA10,0.0
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,10.633577208012662
SlogP_VSA2,16.51271344780699
SlogP_VSA3,6.4208216229260096
SlogP_VSA4,6.923737199690624
SlogP_VSA5,11.126902983393991
SlogP_VSA6,73.18783433099372
SlogP_VSA7,0.0
SlogP_VSA8,10.902924932081056
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,3
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
