DLiP-ID,C001MH
DLiP-Mol-ID,32597
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C14H19N5O2.ClH/c1-5-19-13-10(8-16-19)12(18-17-9(3)4)11(7-15-13)14(20)21-6-2;/h7-8H,5-6H2,1-4H3,(H,15,18);1H"
Standard Inchi Key(RDKit),GQJUGJHJUZSJLZ-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCOC(=O)c1cnc2c(cnn2CC)c1NN=C(C)C.Cl
SMILES(SDF),
MW(SDF),
MW(RDKit),325.8
MW Monoisotopic(RDKit),325.13055256
MolLogP(RDKit),2.8574
XLogP(SDF),
XLogP(CDK),3.938
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),81.4
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),22
QED Weighted(RDKit),0.51907312230636
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,62805.97741791932
qed,0.5190731223063605
Chi0,15.405412915006313
Chi1,10.078917360319545
TPSA,81.39999999999999
Chi0n,13.082513354143769
Chi0v,13.899009935071495
Chi1n,6.865539993132473
Chi1v,6.865539993132473
Chi2n,4.6357790343682606
Chi2v,4.6357790343682606
Chi3n,2.85241228515355
Chi3v,2.85241228515355
Chi4n,1.9099430049178865
Chi4v,1.9099430049178865
MolMR,88.81220000000002
MolWt,325.8
fr_SH,0
Kappa1,17.900377833753154
Kappa2,7.743501671238264
Kappa3,3.5375799451704832
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,4
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,691.8431795234173
MolLogP,2.8574000000000015
NOCount,7
fr_Ar_N,3
fr_COO2,0
fr_urea,0
BalabanJ,2.419998416184429e-06
SMR_VSA1,9.53140013787187
SMR_VSA2,0.0
SMR_VSA3,14.76446326439343
SMR_VSA4,5.101407525739723
SMR_VSA5,34.239705204675076
SMR_VSA6,12.032673361623303
SMR_VSA7,17.957138634923147
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,1
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,134.7029672761156
NHOHCount,1
PEOE_VSA1,4.736862953800049
PEOE_VSA2,5.425791397110385
PEOE_VSA3,14.460318640164214
PEOE_VSA4,10.200089334040761
PEOE_VSA5,12.407033161179976
PEOE_VSA6,0.0
PEOE_VSA7,27.694948798762496
PEOE_VSA8,18.453284980296353
PEOE_VSA9,23.877336025274353
RingCount,2
SMR_VSA10,40.80881116181861
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,325.13055256
NumHDonors,1
PEOE_VSA10,5.563451491696996
PEOE_VSA11,5.647177220767728
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,5.969305287951849
SlogP_VSA1,5.425791397110385
SlogP_VSA2,33.0523355196289
SlogP_VSA3,11.281619359712625
