DLiP-ID,I000TV
DLiP-Mol-ID,28954
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C28H26N4O2/c1-20-18-25(28(34)30(2)23-12-4-3-5-13-23)29-32(20)26-15-9-8-14-24(26)27(33)31-17-16-21-10-6-7-11-22(21)19-31/h3-15,18H,16-17,19H2,1-2H3"
Standard Inchi Key(RDKit),NOGQTOFLBRZTMI-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1cc(C(=O)N(C)c2ccccc2)nn1-c1ccccc1C(=O)N1CCc2ccccc2C1
SMILES(SDF),
MW(SDF),
MW(RDKit),450.542
MW Monoisotopic(RDKit),450.205576072
MolLogP(RDKit),4.65582
XLogP(SDF),
XLogP(CDK),4.533
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),58.44
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),34
QED Weighted(RDKit),0.454576341678015
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,BCL2-Like_BAX
Common Target Pref Name,"BCL-like/BAX,BAK"
RDKit Descriptors
Ipc,90476996.08433099
qed,0.4545763416780153
Chi0,23.656125291633362
Chi1,16.52487714325259
TPSA,58.440000000000005
Chi0n,19.309575075141964
Chi0v,19.309575075141964
Chi1n,11.379399395775756
Chi1v,11.379399395775756
Chi2n,8.545048667969567
Chi2v,8.545048667969567
Chi3n,6.335183845684173
Chi3v,6.335183845684173
Chi4n,4.442127570426004
Chi4v,4.442127570426004
MolMR,132.36299999999997
MolWt,450.5420000000003
fr_SH,0
Kappa1,21.64502795560311
Kappa2,8.980740603089169
Kappa3,3.9866253871790547
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,4
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1359.8509723877744
MolLogP,4.655820000000005
NOCount,6
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.443558852113399
SMR_VSA1,9.589074368143644
SMR_VSA2,0.0
SMR_VSA3,14.680394474296701
SMR_VSA4,0.0
SMR_VSA5,19.88931522852921
SMR_VSA6,18.492338119440245
SMR_VSA7,113.00734942325047
SMR_VSA8,0.0
SMR_VSA9,5.687386274683562
fr_Al_OH,0
