DLiP-ID,T0084Q
DLiP-Mol-ID,26602
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H15Cl2NO2/c1-20-15(21)10-22-17(12-3-2-4-14(19)9-12)16(20)11-5-7-13(18)8-6-11/h2-9,16-17H,10H2,1H3/t16-,17+/m1/s1"
Standard Inchi Key(RDKit),ZUYDNBDMQAEZPD-SJORKVTESA-N
Canonical SMILES(RDKit),CN1C(=O)CO[C@@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),336.218
MW Monoisotopic(RDKit),335.04798408
MolLogP(RDKit),4.2644
XLogP(SDF),
XLogP(CDK),3.994
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),29.54
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),22
QED Weighted(RDKit),0.819881751043585
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,p53/MDM2
Common Target Pref Name,P53/HDM2
RDKit Descriptors
Ipc,113747.03123511568
qed,0.8198817510435847
Chi0,15.689869965382487
Chi1,10.558550648063802
TPSA,29.540000000000003
Chi0n,12.000248595528946
Chi0v,13.512106487565857
Chi1n,6.942456699436656
Chi1v,7.698385645455111
Chi2n,5.28764255078336
Chi2v,6.1605141117273305
Chi3n,3.8725170476051756
Chi3v,4.3595904657324
Chi4n,2.7326897493653624
Chi4v,3.0574053614501784
MolMR,87.10800000000003
MolWt,336.2180000000001
fr_SH,0
Kappa1,15.34969791816509
Kappa2,6.287571610703676
Kappa3,2.975826942863839
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,687.3132227181493
MolLogP,4.264400000000004
NOCount,3
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.025274714737614
SMR_VSA1,9.53140013787187
SMR_VSA2,0.0
SMR_VSA3,4.899909730850478
SMR_VSA4,0.0
SMR_VSA5,12.145807216896262
SMR_VSA6,13.654553947190108
SMR_VSA7,69.70310615856953
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,138.94881019753214
NHOHCount,0
PEOE_VSA1,9.636772684650527
PEOE_VSA2,4.794537184071822
PEOE_VSA3,0.0
