DLiP-ID,C001H4
DLiP-Mol-ID,32355
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H21ClN2O3/c21-17-6-8-18(9-7-17)26-15-20(25)23-12-10-22(11-13-23)19(24)14-16-4-2-1-3-5-16/h1-9H,10-15H2"
Standard Inchi Key(RDKit),XUWONGFKJGXWMM-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(COc1ccc(Cl)cc1)N1CCN(C(=O)Cc2ccccc2)CC1
SMILES(SDF),
MW(SDF),
MW(RDKit),372.852
MW Monoisotopic(RDKit),372.124070212
MolLogP(RDKit),2.6323
XLogP(SDF),
XLogP(CDK),2.834
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),49.85
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.810305106643486
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,953784.5179467744
qed,0.8103051066434858
Chi0,18.355160383312143
Chi1,12.614193540729627
TPSA,49.85
Chi0n,14.435929645226654
Chi0v,15.191858591245108
